@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
59, 52, 70, 67, 73, 66, 72, 61, 58, 52, 72, 71, 70, 77, 66, 65, 67, 55, 61, 57, 68, 66, 72, 74, 63, 64, 56, 54, 67, 54, 76, 74, 65, 67, 66, 56, 62, 56, 72, 62, 74, 74, 64, 67, 1
71, 62, 70, 64, 67, 64, 79, 65, 70, 69, 72, 71, 68, 65, 61, 61, 73, 71, 75, 74, 80, 74, 54, 47, 53, 37, 77, 68, 72, 59, 72, 68, 60, 60, 73, 70, 66, 65, 64, 55, 61, 41, 51, 46, 1
69, 71, 70, 78, 61, 63, 67, 65, 59, 59, 66, 69, 71, 75, 65, 58, 60, 55, 62, 59, 67, 66, 74, 74, 64, 60, 57, 54, 70, 73, 69, 76, 62, 64, 61, 61, 66, 65, 72, 73, 68, 68, 59, 63, 1
67, 51, 73, 65, 69, 56, 72, 63, 64, 56, 68, 67, 70, 62, 70, 58, 68, 62, 65, 59, 77, 69, 68, 59, 64, 55, 65, 60, 70, 60, 72, 65, 58, 51, 66, 59, 71, 62, 74, 60, 76, 65, 62, 56, 1
72, 63, 68, 62, 72, 63, 79, 61, 57, 49, 76, 75, 55, 57, 43, 37, 54, 52, 57, 56, 78, 78, 57, 55, 35, 37, 57, 57, 41, 35, 67, 70, 75, 72, 53, 46, 63, 62, 53, 43, 38, 35, 32, 26, 1
79, 78, 66, 63, 69, 62, 78, 70, 72, 71, 73, 78, 75, 65, 68, 62, 76, 71, 68, 68, 72, 71, 52, 48, 23, 26, 66, 59, 66, 66, 72, 74, 56, 58, 67, 63, 66, 69, 70, 74, 34, 33, 11, 12, 1
76, 73, 74, 76, 60, 69, 76, 76, 68, 69, 78, 79, 57, 62, 69, 69, 67, 66, 73, 69, 80, 81, 58, 68, 75, 69, 73, 70, 58, 65, 79, 76, 74, 71, 66, 64, 65, 62, 78, 68, 75, 68, 62, 60, 0
74, 73, 72, 75, 63, 62, 67, 67, 73, 74, 75, 79, 70, 71, 64, 67, 65, 69, 79, 78, 81, 80, 71, 73, 60, 62, 69, 67, 69, 69, 75, 75, 66, 67, 67, 66, 71, 73, 66, 69, 62, 65, 55, 56, 0
72, 74, 67, 69, 69, 70, 74, 81, 66, 70, 73, 78, 69, 80, 65, 65, 70, 77, 69, 70, 73, 79, 64, 68, 56, 58, 67, 64, 68, 68, 69, 74, 62, 67, 66, 70, 73, 77, 74, 77, 71, 72, 63, 65, 0
63, 61, 75, 72, 68, 71, 69, 70, 64, 56, 70, 75, 76, 73, 70, 72, 76, 73, 68, 68, 79, 76, 68, 76, 66, 73, 58, 68, 72, 75, 72, 75, 65, 61, 66, 67, 58, 57, 72, 72, 68, 71, 57, 58, 0
66, 54, 69, 66, 69, 69, 75, 72, 63, 62, 68, 66, 68, 70, 71, 68, 70, 69, 66, 68, 73, 72, 65, 73, 67, 63, 60, 57, 70, 68, 75, 75, 65, 67, 69, 65, 65, 64, 67, 69, 71, 68, 59, 59, 0
69, 80, 67, 67, 62, 61, 65, 67, 62, 71, 77, 75, 72, 77, 56, 54, 65, 60, 57, 63, 80, 69, 71, 72, 51, 39, 57, 50, 64, 63, 75, 70, 59, 56, 60, 55, 65, 68, 66, 67, 67, 68, 54, 54, 1
