@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
70, 66, 61, 66, 61, 58, 69, 69, 72, 68, 62, 71, 71, 71, 63, 59, 74, 75, 70, 69, 83, 77, 73, 70, 41, 37, 39, 40, 58, 46, 75, 73, 65, 66, 67, 69, 70, 66, 70, 64, 60, 55, 49, 41, 1
78, 73, 68, 74, 68, 69, 63, 74, 68, 67, 73, 73, 66, 71, 64, 67, 66, 68, 61, 66, 75, 71, 60, 62, 64, 66, 65, 67, 66, 62, 74, 75, 61, 61, 63, 66, 68, 65, 71, 62, 69, 67, 61, 59, 1
61, 63, 58, 62, 56, 60, 67, 75, 61, 57, 64, 71, 56, 59, 66, 62, 73, 76, 71, 75, 83, 84, 69, 71, 69, 69, 69, 71, 49, 43, 59, 64, 56, 61, 64, 72, 70, 73, 69, 70, 65, 68, 65, 62, 1
61, 76, 71, 68, 77, 69, 77, 69, 64, 75, 71, 81, 75, 72, 71, 69, 70, 73, 61, 71, 69, 79, 64, 65, 62, 66, 61, 65, 71, 68, 67, 71, 59, 64, 66, 65, 60, 68, 74, 71, 69, 68, 63, 59, 0
80, 76, 75, 75, 69, 68, 74, 75, 77, 77, 76, 78, 74, 70, 66, 65, 67, 75, 74, 73, 74, 77, 68, 67, 61, 58, 60, 67, 61, 63, 75, 75, 66, 62, 59, 61, 77, 74, 69, 67, 65, 66, 61, 58, 0
66, 67, 63, 70, 69, 70, 73, 72, 61, 62, 68, 68, 70, 71, 71, 67, 71, 69, 65, 65, 76, 78, 71, 70, 65, 64, 68, 71, 70, 71, 73, 74, 58, 63, 68, 71, 70, 72, 77, 79, 79, 79, 66, 66, 0
69, 64, 73, 72, 49, 70, 66, 71, 57, 56, 64, 62, 76, 74, 65, 62, 63, 58, 63, 63, 75, 76, 78, 80, 75, 77, 51, 62, 74, 68, 77, 77, 70, 68, 68, 64, 59, 58, 69, 66, 74, 75, 62, 59, 0
65, 63, 73, 75, 67, 61, 76, 65, 62, 62, 79, 75, 74, 70, 57, 52, 62, 62, 62, 63, 78, 72, 57, 50, 39, 36, 51, 51, 41, 43, 64, 70, 56, 54, 50, 46, 66, 67, 49, 43, 43, 43, 41, 43, 1
65, 67, 67, 61, 55, 57, 66, 74, 64, 69, 61, 62, 71, 71, 53, 53, 64, 71, 65, 66, 71, 73, 65, 70, 47, 39, 80, 75, 67, 64, 72, 66, 53, 55, 63, 64, 60, 61, 74, 63, 59, 58, 50, 49, 1
47, 47, 48, 69, 80, 52, 52, 52, 58, 46, 45, 48, 42, 59, 40, 38, 62, 54, 63, 69, 64, 63, 79, 70, 33, 19, 49, 46, 44, 43, 49, 57, 43, 75, 49, 27, 36, 39, 47, 57, 14, 20, 21, 4, 1
58, 66, 63, 61, 66, 68, 75, 79, 61, 63, 57, 62, 66, 66, 59, 59, 75, 74, 62, 65, 78, 76, 72, 72, 60, 60, 64, 65, 64, 70, 68, 68, 59, 67, 67, 66, 58, 57, 58, 73, 48, 59, 39, 51, 1
70, 69, 69, 67, 69, 68, 72, 73, 63, 71, 73, 73, 69, 69, 70, 65, 79, 76, 54, 61, 73, 70, 65, 72, 56, 55, 67, 71, 69, 70, 70, 69, 56, 62, 69, 67, 68, 69, 80, 77, 71, 69, 52, 50, 1
54, 52, 58, 55, 62, 54, 75, 74, 61, 58, 66, 66, 56, 50, 49, 40, 74, 82, 61, 47, 58, 71, 27, 40, 40, 19, 77, 77, 55, 56, 68, 68, 44, 41, 69, 68, 62, 56, 61, 62, 45, 20, 37, 11, 1
72, 71, 74, 73, 64, 60, 68, 71, 72, 69, 79, 74, 67, 56, 65, 60, 75, 74, 72, 70, 79, 79, 64, 58, 63, 57, 73, 70, 72, 59, 76, 60, 63, 50, 71, 65, 68, 69, 68, 63, 61, 54, 49, 47, 1
57, 55, 56, 53, 51, 44, 68, 56, 68, 66, 64, 58, 58, 68, 66, 68, 72, 70, 67, 61, 70, 63, 70, 62, 44, 41, 63, 45, 42, 61, 64, 51, 68, 55, 71, 69, 62, 54, 57, 52, 38, 27, 39, 32, 1
57, 29, 71, 51, 65, 41, 67, 45, 63, 39, 75, 63, 60, 67, 52, 52, 65, 64, 74, 63, 81, 82, 72, 66, 62, 65, 71, 61, 51, 25, 71, 72, 55, 60, 60, 51, 72, 60, 74, 40, 69, 69, 57, 58, 1
75, 75, 64, 63, 58, 58, 75, 77, 73, 74, 73, 76, 69, 65, 67, 68, 73, 76, 79, 78, 76, 74, 72, 66, 60, 61, 57, 58, 47, 40, 61, 63, 58, 47, 65, 66, 59, 63, 60, 57, 63, 47, 42, 40, 1
76, 75, 75, 77, 75, 72, 75, 75, 68, 75, 72, 71, 62, 65, 59, 64, 65, 67, 77, 81, 76, 77, 68, 72, 66, 63, 65, 68, 69, 65, 75, 76, 58, 63, 72, 75, 65, 70, 73, 71, 64, 63, 50, 50, 1
65, 62, 69, 62, 74, 72, 73, 69, 68, 59, 74, 67, 71, 69, 71, 70, 71, 67, 70, 66, 78, 77, 76, 79, 74, 77, 70, 74, 67, 72, 67, 67, 61, 58, 66, 64, 58, 47, 73, 67, 73, 66, 58, 52, 1
61, 57, 71, 71, 73, 70, 76, 74, 66, 63, 76, 79, 65, 66, 71, 71, 74, 70, 71, 67, 74, 80, 64, 68, 65, 62, 68, 67, 64, 67, 74, 75, 63, 64, 68, 68, 76, 72, 72, 70, 77, 78, 67, 65, 1
68, 49, 62, 59, 67, 64, 68, 67, 71, 62, 73, 63, 64, 62, 61, 56, 74, 75, 70, 69, 76, 75, 66, 64, 62, 64, 63, 67, 65, 66, 70, 67, 61, 57, 66, 68, 72, 64, 69, 57, 68, 66, 59, 59, 1
