@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
69, 66, 62, 75, 67, 71, 72, 76, 69, 70, 66, 69, 71, 80, 66, 64, 71, 77, 65, 61, 72, 67, 71, 69, 65, 57, 69, 65, 68, 65, 76, 73, 63, 64, 69, 70, 72, 72, 69, 68, 70, 73, 63, 59, 1
70, 69, 67, 66, 68, 60, 76, 77, 70, 67, 71, 71, 79, 79, 70, 64, 77, 76, 63, 54, 68, 65, 72, 67, 59, 52, 56, 50, 67, 61, 74, 72, 67, 59, 68, 66, 73, 68, 74, 68, 77, 69, 65, 62, 1
64, 64, 70, 75, 70, 71, 74, 71, 59, 60, 62, 68, 70, 66, 69, 72, 69, 69, 61, 63, 56, 60, 62, 66, 69, 71, 62, 63, 67, 65, 62, 58, 52, 51, 67, 66, 61, 56, 64, 65, 71, 73, 57, 63, 1
75, 75, 70, 77, 67, 75, 75, 75, 67, 66, 74, 73, 68, 72, 64, 70, 76, 70, 67, 63, 74, 75, 72, 68, 69, 68, 75, 69, 71, 74, 75, 76, 63, 70, 71, 69, 66, 63, 70, 73, 66, 68, 58, 59, 0
59, 75, 70, 76, 62, 70, 65, 74, 65, 67, 75, 76, 70, 73, 63, 61, 74, 67, 78, 69, 75, 73, 70, 68, 67, 64, 79, 68, 70, 75, 76, 77, 59, 63, 72, 69, 64, 64, 65, 72, 61, 61, 51, 55, 0
69, 78, 74, 76, 70, 67, 69, 73, 68, 75, 75, 76, 71, 77, 58, 61, 66, 70, 67, 72, 76, 72, 56, 62, 56, 61, 57, 62, 67, 73, 76, 74, 58, 63, 64, 68, 66, 76, 70, 72, 64, 68, 60, 56, 0
75, 74, 71, 71, 62, 58, 70, 64, 71, 68, 76, 68, 71, 71, 58, 58, 70, 69, 70, 72, 75, 73, 74, 72, 66, 60, 63, 66, 70, 64, 75, 70, 64, 62, 66, 62, 68, 69, 69, 66, 64, 58, 57, 52, 1
74, 67, 69, 75, 59, 57, 70, 68, 70, 62, 79, 76, 74, 70, 64, 56, 71, 73, 72, 64, 81, 72, 75, 66, 60, 57, 68, 62, 59, 38, 74, 66, 71, 60, 67, 59, 66, 58, 70, 50, 45, 31, 36, 35, 1
66, 68, 67, 72, 65, 71, 71, 71, 60, 67, 69, 78, 75, 72, 68, 66, 69, 68, 77, 77, 81, 80, 68, 69, 70, 65, 66, 65, 62, 66, 74, 76, 59, 62, 64, 63, 67, 75, 70, 75, 74, 76, 62, 65, 1
58, 70, 62, 73, 34, 41, 55, 54, 65, 77, 73, 78, 65, 65, 33, 48, 57, 64, 69, 67, 68, 64, 61, 58, 60, 59, 73, 70, 45, 40, 71, 74, 52, 56, 59, 62, 67, 75, 36, 39, 22, 19, 29, 24, 1
