@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
61, 60, 60, 62, 64, 72, 68, 67, 74, 68, 76, 70, 74, 71, 76, 74, 74, 70, 75, 66, 69, 62, 65, 60, 66, 65, 68, 59, 64, 59, 72, 65, 55, 56, 66, 66, 66, 60, 60, 58, 60, 67, 49, 52, 1
80, 74, 82, 77, 74, 74, 73, 77, 64, 61, 73, 73, 73, 72, 62, 66, 66, 68, 63, 61, 69, 75, 70, 75, 59, 64, 63, 69, 66, 66, 70, 77, 62, 62, 60, 65, 67, 66, 74, 71, 66, 71, 59, 62, 1
70, 64, 52, 58, 75, 89, 70, 72, 26, 30, 46, 55, 54, 59, 40, 40, 39, 37, 35, 17, 59, 52, 66, 72, 23, 46, 8, 31, 17, 20, 49, 72, 61, 70, 31, 13, 40, 23, 31, 30, 57, 67, 41, 57, 1
65, 66, 71, 72, 67, 75, 76, 83, 70, 74, 70, 76, 70, 68, 63, 71, 69, 76, 72, 73, 76, 80, 69, 68, 57, 59, 59, 56, 62, 68, 75, 73, 65, 61, 69, 73, 66, 70, 63, 65, 65, 67, 53, 42, 1
62, 71, 78, 84, 64, 68, 72, 74, 53, 57, 71, 70, 71, 72, 54, 53, 63, 67, 54, 57, 71, 71, 70, 74, 54, 57, 54, 57, 62, 64, 75, 72, 62, 65, 60, 64, 64, 67, 72, 77, 62, 62, 61, 65, 0
62, 66, 66, 68, 73, 76, 68, 71, 62, 62, 63, 68, 74, 75, 63, 68, 71, 68, 58, 58, 65, 66, 65, 76, 64, 70, 63, 60, 70, 72, 71, 77, 67, 69, 72, 71, 63, 63, 70, 72, 75, 79, 62, 59, 0
64, 53, 74, 70, 65, 63, 70, 70, 57, 57, 64, 64, 73, 74, 65, 59, 65, 63, 63, 62, 72, 73, 79, 76, 75, 68, 60, 58, 69, 66, 72, 76, 64, 65, 63, 65, 63, 65, 75, 80, 74, 67, 71, 67, 0
70, 75, 72, 72, 67, 71, 71, 78, 63, 67, 73, 76, 71, 74, 59, 61, 67, 64, 74, 71, 77, 77, 70, 72, 61, 61, 62, 58, 63, 69, 76, 75, 64, 65, 66, 67, 68, 70, 70, 71, 64, 67, 56, 54, 0
80, 76, 77, 76, 67, 68, 71, 76, 69, 66, 76, 78, 61, 71, 58, 61, 61, 68, 78, 72, 72, 75, 61, 66, 58, 62, 69, 66, 55, 40, 70, 71, 67, 58, 57, 58, 62, 65, 59, 45, 53, 58, 54, 55, 1
77, 61, 71, 69, 70, 66, 57, 55, 67, 67, 79, 72, 79, 71, 64, 54, 62, 63, 39, 47, 75, 76, 67, 71, 63, 44, 22, 25, 21, 18, 72, 79, 57, 58, 48, 40, 41, 39, 19, 16, 68, 72, 56, 65, 1
