@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
72, 62, 69, 67, 78, 82, 74, 65, 69, 63, 70, 70, 72, 74, 70, 71, 72, 75, 66, 65, 73, 78, 74, 79, 74, 69, 69, 70, 71, 69, 72, 70, 62, 65, 65, 71, 63, 60, 69, 73, 67, 71, 56, 58, 1
63, 63, 69, 72, 67, 62, 65, 57, 68, 53, 68, 71, 73, 78, 64, 58, 61, 54, 70, 61, 72, 67, 72, 68, 57, 55, 61, 53, 66, 60, 76, 77, 73, 66, 66, 58, 75, 70, 77, 67, 78, 68, 64, 58, 1
62, 56, 66, 57, 74, 75, 68, 59, 65, 59, 74, 66, 71, 65, 67, 69, 66, 66, 71, 72, 80, 74, 71, 63, 62, 72, 62, 66, 66, 61, 73, 68, 59, 59, 63, 62, 73, 73, 76, 67, 77, 71, 62, 58, 1
70, 65, 65, 62, 68, 67, 77, 74, 62, 61, 66, 61, 69, 74, 64, 62, 71, 71, 74, 70, 77, 78, 69, 70, 67, 65, 67, 70, 49, 48, 73, 71, 65, 73, 73, 73, 75, 71, 73, 72, 73, 70, 65, 64, 1
75, 72, 75, 79, 72, 68, 79, 77, 69, 66, 73, 77, 67, 73, 57, 58, 69, 69, 67, 65, 77, 68, 69, 65, 58, 54, 68, 60, 67, 66, 75, 78, 63, 66, 68, 64, 72, 69, 73, 61, 52, 44, 34, 37, 1
68, 64, 74, 80, 76, 72, 78, 75, 67, 64, 75, 80, 78, 77, 66, 64, 67, 67, 70, 60, 78, 82, 70, 68, 63, 60, 64, 60, 54, 56, 70, 73, 59, 65, 55, 58, 50, 51, 73, 70, 69, 65, 42, 41, 0
64, 70, 71, 69, 72, 70, 75, 78, 61, 66, 69, 68, 68, 70, 71, 70, 75, 76, 73, 72, 80, 78, 79, 81, 74, 70, 72, 79, 73, 75, 77, 73, 65, 64, 72, 72, 59, 62, 71, 74, 68, 67, 58, 57, 0
67, 57, 73, 78, 63, 68, 72, 73, 61, 59, 59, 76, 71, 72, 69, 66, 70, 68, 65, 77, 79, 68, 71, 75, 62, 66, 70, 78, 68, 69, 70, 76, 65, 65, 66, 67, 62, 72, 69, 72, 70, 68, 60, 59, 0
70, 64, 68, 67, 76, 68, 76, 69, 67, 64, 69, 65, 62, 65, 70, 67, 74, 68, 65, 65, 74, 75, 64, 69, 63, 63, 64, 64, 56, 61, 62, 68, 66, 66, 62, 58, 57, 48, 75, 64, 79, 74, 59, 58, 0
59, 57, 67, 71, 66, 68, 68, 70, 56, 62, 77, 61, 67, 71, 75, 71, 67, 64, 62, 54, 64, 75, 71, 72, 76, 79, 75, 70, 71, 77, 71, 69, 56, 54, 62, 64, 56, 53, 71, 68, 64, 63, 56, 56, 0
67, 65, 61, 61, 60, 62, 75, 74, 68, 68, 72, 75, 70, 75, 63, 68, 72, 75, 64, 70, 76, 75, 70, 70, 67, 63, 66, 67, 69, 66, 77, 77, 64, 66, 68, 69, 70, 69, 75, 66, 71, 70, 57, 63, 1
