@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
75, 71, 54, 51, 53, 50, 68, 69, 46, 55, 11, 12, 43, 48, 61, 60, 73, 77, 46, 45, 68, 59, 65, 73, 54, 60, 55, 66, 54, 41, 53, 52, 58, 63, 72, 65, 33, 23, 64, 54, 36, 46, 45, 52, 1
69, 68, 75, 74, 78, 72, 75, 72, 61, 57, 72, 71, 75, 72, 70, 68, 68, 62, 62, 66, 67, 67, 74, 78, 64, 68, 62, 62, 64, 63, 75, 77, 66, 67, 69, 65, 62, 63, 64, 59, 74, 75, 63, 67, 1
71, 75, 76, 74, 71, 68, 67, 68, 69, 75, 75, 74, 59, 58, 71, 69, 70, 74, 74, 72, 71, 78, 69, 72, 69, 72, 63, 61, 59, 70, 72, 75, 61, 66, 70, 71, 59, 64, 64, 60, 72, 61, 55, 63, 1
68, 64, 65, 68, 63, 64, 77, 73, 75, 72, 80, 77, 70, 71, 61, 61, 73, 68, 63, 62, 76, 73, 69, 69, 48, 59, 62, 44, 66, 59, 75, 74, 64, 64, 63, 61, 70, 69, 74, 67, 51, 48, 45, 45, 1
59, 68, 69, 67, 69, 59, 78, 73, 66, 65, 77, 73, 74, 66, 66, 55, 71, 66, 69, 68, 75, 73, 80, 79, 69, 65, 69, 66, 68, 65, 75, 71, 59, 61, 65, 64, 73, 71, 81, 75, 74, 65, 69, 66, 0
68, 65, 72, 72, 47, 74, 76, 74, 67, 66, 71, 69, 69, 67, 63, 64, 68, 68, 70, 74, 77, 77, 73, 60, 49, 48, 42, 69, 70, 69, 76, 79, 63, 66, 64, 69, 71, 73, 73, 75, 68, 56, 58, 44, 0
68, 63, 67, 67, 65, 72, 74, 72, 70, 71, 79, 71, 72, 67, 68, 69, 75, 79, 67, 65, 78, 69, 72, 67, 64, 59, 67, 65, 73, 70, 80, 69, 63, 61, 70, 70, 70, 67, 77, 71, 77, 72, 68, 59, 1
69, 68, 73, 74, 62, 67, 74, 73, 67, 65, 70, 75, 64, 68, 58, 57, 66, 70, 57, 63, 68, 71, 68, 69, 40, 38, 55, 59, 67, 67, 76, 78, 65, 67, 61, 65, 76, 79, 74, 73, 64, 56, 53, 45, 1
71, 73, 65, 80, 62, 67, 65, 77, 66, 68, 72, 80, 71, 74, 58, 62, 67, 73, 73, 73, 83, 78, 66, 77, 60, 59, 61, 61, 53, 46, 73, 75, 67, 65, 62, 65, 62, 66, 62, 60, 61, 68, 43, 56, 1
72, 71, 70, 72, 63, 69, 71, 73, 71, 71, 79, 75, 71, 71, 65, 74, 68, 74, 71, 71, 70, 78, 62, 67, 62, 60, 59, 59, 69, 66, 75, 75, 57, 57, 66, 69, 68, 67, 69, 64, 58, 62, 52, 54, 1
