@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
74, 73, 72, 79, 66, 61, 76, 66, 65, 64, 78, 74, 62, 57, 48, 36, 62, 50, 67, 63, 79, 70, 61, 57, 52, 36, 69, 49, 55, 65, 74, 73, 58, 60, 64, 62, 73, 69, 62, 67, 60, 56, 53, 46, 1
67, 66, 65, 77, 66, 70, 72, 72, 72, 67, 76, 72, 73, 76, 74, 71, 74, 73, 69, 61, 78, 70, 76, 73, 70, 70, 62, 51, 70, 68, 79, 77, 75, 68, 72, 71, 69, 63, 65, 61, 73, 73, 64, 67, 1
70, 54, 66, 66, 76, 46, 74, 58, 68, 52, 81, 58, 67, 58, 68, 32, 73, 59, 76, 51, 82, 57, 76, 54, 58, 30, 69, 41, 59, 59, 67, 73, 62, 55, 60, 55, 65, 56, 65, 44, 73, 36, 51, 28, 1
62, 67, 68, 70, 65, 70, 73, 77, 69, 70, 69, 73, 71, 74, 71, 71, 76, 75, 66, 67, 73, 73, 70, 74, 63, 67, 58, 68, 66, 69, 78, 79, 69, 70, 71, 73, 72, 71, 73, 77, 72, 76, 64, 66, 0
76, 72, 73, 69, 67, 73, 74, 72, 60, 65, 73, 66, 66, 73, 68, 67, 69, 70, 60, 58, 66, 76, 69, 75, 65, 64, 63, 60, 74, 71, 77, 79, 61, 68, 71, 70, 62, 63, 73, 76, 62, 69, 52, 59, 0
59, 65, 53, 60, 72, 74, 67, 69, 64, 67, 64, 65, 71, 70, 68, 71, 72, 70, 70, 70, 75, 78, 72, 71, 71, 71, 67, 64, 67, 71, 71, 74, 62, 66, 72, 73, 57, 57, 64, 71, 70, 69, 53, 49, 0
70, 71, 71, 74, 68, 66, 72, 70, 66, 69, 74, 72, 70, 69, 64, 66, 73, 72, 75, 73, 81, 81, 76, 75, 71, 70, 74, 82, 69, 72, 76, 74, 60, 56, 66, 66, 64, 64, 73, 72, 66, 63, 54, 58, 0
57, 43, 62, 50, 43, 57, 61, 44, 44, 24, 53, 36, 60, 69, 58, 61, 30, 32, 61, 63, 75, 72, 62, 71, 42, 44, 67, 74, 29, 19, 76, 77, 65, 66, 41, 41, 57, 46, 27, 12, 41, 52, 42, 49, 1
73, 67, 74, 73, 79, 75, 76, 77, 61, 60, 70, 73, 76, 77, 71, 71, 65, 65, 69, 64, 75, 76, 78, 80, 72, 69, 61, 59, 71, 68, 76, 79, 68, 67, 71, 67, 63, 59, 68, 66, 74, 71, 59, 57, 1
58, 40, 57, 43, 74, 57, 78, 53, 68, 58, 65, 54, 75, 50, 59, 73, 80, 77, 60, 59, 61, 61, 55, 56, 48, 63, 75, 77, 13, 7, 47, 52, 54, 58, 51, 31, 53, 18, 17, 6, 15, 69, 30, 40, 1
77, 77, 70, 71, 68, 66, 75, 75, 73, 72, 71, 77, 66, 65, 60, 58, 70, 70, 71, 74, 80, 79, 64, 64, 60, 55, 70, 68, 76, 74, 75, 75, 65, 65, 73, 73, 71, 70, 73, 73, 63, 62, 52, 52, 1
61, 66, 64, 74, 51, 55, 64, 63, 67, 67, 73, 76, 69, 67, 55, 53, 70, 67, 65, 61, 70, 66, 70, 62, 43, 35, 68, 65, 61, 56, 70, 73, 59, 62, 64, 62, 67, 68, 55, 61, 53, 42, 37, 28, 1
68, 77, 67, 70, 64, 62, 79, 80, 64, 64, 76, 74, 65, 64, 64, 60, 62, 67, 74, 75, 82, 77, 75, 74, 72, 73, 72, 71, 67, 69, 75, 73, 64, 62, 63, 65, 68, 70, 77, 69, 72, 71, 65, 57, 1
73, 71, 71, 68, 64, 60, 72, 76, 75, 70, 77, 76, 67, 67, 65, 59, 69, 69, 70, 69, 77, 73, 64, 58, 56, 51, 58, 57, 71, 68, 75, 77, 72, 68, 72, 70, 72, 69, 72, 64, 62, 61, 53, 53, 1
67, 58, 59, 54, 60, 65, 75, 75, 63, 61, 70, 67, 72, 61, 64, 57, 73, 66, 72, 79, 78, 81, 79, 76, 74, 50, 69, 66, 57, 47, 61, 51, 54, 56, 65, 66, 63, 71, 68, 59, 62, 47, 61, 48, 1
68, 70, 70, 69, 65, 63, 71, 74, 73, 70, 79, 78, 77, 74, 61, 60, 69, 73, 70, 69, 76, 73, 69, 71, 62, 56, 67, 63, 65, 65, 67, 75, 59, 60, 67, 69, 69, 66, 62, 64, 68, 60, 56, 51, 1
73, 80, 82, 84, 71, 71, 77, 75, 61, 58, 69, 72, 63, 62, 56, 54, 58, 52, 70, 69, 78, 76, 72, 76, 58, 63, 62, 62, 58, 57, 74, 77, 57, 62, 60, 53, 68, 69, 55, 49, 63, 63, 56, 48, 1
61, 66, 70, 74, 59, 64, 72, 73, 64, 65, 72, 72, 70, 72, 64, 62, 72, 74, 65, 69, 75, 75, 74, 76, 65, 64, 74, 73, 65, 70, 67, 72, 53, 56, 65, 68, 66, 68, 75, 80, 71, 75, 61, 64, 1
52, 49, 74, 72, 72, 76, 77, 77, 67, 66, 66, 64, 75, 70, 74, 77, 72, 73, 82, 80, 78, 78, 73, 70, 79, 75, 73, 79, 79, 78, 74, 71, 63, 63, 71, 73, 50, 58, 66, 68, 66, 58, 37, 38, 1
74, 76, 72, 74, 70, 71, 73, 77, 70, 73, 69, 73, 74, 75, 62, 68, 75, 73, 69, 71, 73, 74, 72, 73, 67, 62, 73, 69, 73, 75, 75, 76, 60, 62, 69, 72, 62, 67, 71, 75, 61, 62, 49, 51, 1
70, 76, 62, 67, 74, 72, 80, 76, 55, 59, 62, 64, 64, 58, 73, 70, 74, 71, 72, 68, 73, 69, 72, 63, 69, 63, 60, 57, 47, 52, 67, 64, 66, 62, 73, 69, 71, 70, 60, 62, 67, 67, 60, 56, 1
42, 51, 72, 56, 72, 67, 58, 54, 56, 56, 65, 68, 55, 58, 57, 62, 69, 75, 49, 56, 47, 61, 43, 44, 38, 47, 60, 68, 42, 45, 67, 62, 47, 48, 63, 64, 58, 72, 51, 54, 60, 55, 39, 45, 1
59, 57, 70, 72, 62, 44, 76, 72, 53, 56, 69, 68, 68, 66, 55, 51, 67, 69, 59, 55, 76, 69, 60, 58, 56, 54, 66, 53, 51, 38, 70, 67, 71, 65, 65, 60, 66, 71, 68, 46, 76, 51, 66, 61, 1
