@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
70, 69, 60, 62, 58, 60, 71, 77, 69, 69, 73, 68, 68, 70, 69, 65, 76, 75, 63, 64, 67, 74, 56, 60, 54, 44, 68, 69, 68, 68, 74, 73, 61, 59, 68, 67, 64, 68, 64, 76, 64, 61, 54, 49, 1
78, 76, 71, 72, 65, 71, 75, 74, 70, 64, 65, 76, 65, 73, 59, 57, 65, 65, 73, 73, 81, 80, 68, 66, 59, 44, 62, 63, 62, 59, 71, 74, 59, 60, 64, 61, 77, 76, 62, 67, 44, 42, 44, 30, 1
73, 76, 68, 74, 56, 59, 73, 76, 54, 48, 75, 78, 47, 53, 25, 19, 60, 56, 56, 54, 80, 79, 47, 53, 19, 14, 58, 50, 67, 71, 63, 54, 49, 48, 66, 65, 62, 58, 57, 72, 31, 30, 15, 11, 1
76, 75, 68, 78, 71, 72, 72, 75, 61, 65, 67, 70, 67, 75, 60, 58, 63, 67, 59, 63, 67, 72, 74, 73, 56, 56, 52, 52, 67, 68, 73, 78, 65, 68, 61, 67, 69, 74, 77, 75, 74, 70, 63, 61, 0
65, 67, 69, 76, 62, 68, 65, 66, 65, 64, 74, 73, 60, 75, 66, 63, 64, 62, 73, 65, 77, 74, 69, 69, 66, 59, 68, 59, 69, 69, 76, 79, 65, 63, 60, 60, 69, 64, 69, 74, 69, 70, 62, 57, 0
71, 75, 78, 78, 68, 67, 75, 72, 67, 68, 72, 75, 74, 74, 67, 66, 66, 67, 66, 66, 78, 80, 73, 75, 67, 72, 67, 67, 67, 65, 77, 78, 61, 64, 63, 66, 51, 57, 77, 67, 78, 76, 60, 59, 0
72, 70, 75, 80, 73, 70, 76, 73, 66, 56, 72, 70, 73, 75, 67, 65, 69, 69, 73, 72, 81, 77, 80, 79, 67, 64, 64, 66, 69, 68, 70, 75, 63, 59, 66, 63, 74, 77, 81, 78, 79, 75, 65, 66, 0
67, 68, 73, 78, 65, 63, 67, 60, 63, 62, 71, 68, 76, 73, 59, 61, 62, 56, 74, 73, 78, 76, 79, 79, 70, 70, 68, 67, 65, 67, 76, 75, 63, 61, 61, 56, 76, 75, 74, 77, 76, 74, 59, 68, 1
65, 69, 70, 71, 56, 63, 63, 70, 44, 51, 78, 74, 48, 49, 49, 52, 58, 60, 49, 51, 80, 65, 51, 48, 58, 43, 64, 62, 71, 70, 78, 73, 71, 57, 71, 73, 68, 64, 62, 59, 59, 64, 53, 55, 1
64, 75, 52, 46, 59, 54, 79, 78, 61, 68, 61, 71, 36, 28, 59, 58, 67, 74, 51, 55, 57, 78, 31, 32, 40, 43, 66, 78, 49, 49, 47, 39, 31, 27, 59, 75, 51, 73, 60, 56, 41, 21, 33, 22, 1
66, 70, 78, 75, 69, 64, 70, 66, 66, 69, 75, 76, 66, 65, 54, 52, 61, 57, 68, 65, 79, 69, 67, 63, 51, 50, 54, 43, 41, 49, 71, 74, 67, 67, 54, 52, 76, 72, 65, 69, 69, 64, 58, 56, 1
61, 66, 64, 65, 62, 66, 74, 67, 60, 62, 65, 64, 69, 70, 70, 67, 75, 73, 69, 69, 76, 78, 77, 80, 76, 76, 69, 73, 65, 73, 69, 63, 53, 58, 68, 65, 62, 60, 73, 73, 67, 63, 58, 61, 1
33, 21, 38, 54, 60, 52, 41, 50, 26, 29, 58, 58, 76, 71, 59, 68, 17, 13, 75, 73, 73, 78, 65, 67, 62, 47, 59, 57, 23, 26, 73, 74, 52, 58, 40, 38, 49, 45, 11, 13, 62, 64, 46, 40, 1
77, 63, 68, 70, 66, 70, 80, 79, 60, 57, 75, 68, 63, 66, 63, 69, 69, 70, 36, 34, 48, 47, 72, 77, 62, 66, 62, 62, 57, 69, 73, 75, 62, 63, 69, 71, 56, 53, 74, 76, 72, 73, 64, 63, 1
64, 75, 74, 73, 57, 61, 63, 70, 63, 72, 75, 81, 73, 77, 36, 38, 63, 73, 63, 65, 66, 63, 74, 77, 29, 28, 53, 52, 64, 68, 68, 73, 59, 61, 64, 66, 58, 69, 56, 73, 37, 38, 24, 18, 1
78, 75, 69, 66, 69, 71, 75, 75, 67, 67, 58, 50, 44, 47, 63, 73, 75, 77, 73, 76, 36, 42, 48, 43, 61, 61, 71, 73, 62, 64, 39, 37, 28, 30, 68, 71, 73, 69, 72, 74, 65, 68, 56, 55, 1
54, 42, 57, 60, 61, 44, 39, 54, 12, 22, 47, 52, 58, 63, 51, 35, 47, 31, 57, 50, 69, 60, 68, 60, 48, 38, 37, 36, 29, 22, 47, 54, 72, 62, 42, 18, 33, 30, 23, 28, 49, 40, 76, 45, 1
51, 43, 66, 63, 54, 56, 71, 75, 65, 63, 69, 68, 61, 65, 60, 55, 65, 69, 65, 66, 77, 74, 65, 69, 62, 55, 67, 59, 61, 48, 71, 66, 63, 64, 60, 55, 70, 71, 78, 67, 72, 65, 70, 65, 1
62, 54, 68, 70, 51, 28, 54, 23, 54, 54, 63, 65, 63, 70, 23, 11, 47, 31, 50, 59, 68, 67, 70, 75, 17, 16, 49, 44, 36, 19, 70, 72, 62, 68, 40, 29, 63, 58, 48, 44, 28, 10, 15, 28, 1
73, 70, 77, 79, 61, 59, 72, 66, 65, 66, 74, 79, 64, 59, 53, 54, 70, 69, 81, 80, 75, 74, 73, 62, 66, 63, 63, 70, 63, 60, 71, 65, 56, 49, 68, 62, 67, 70, 53, 62, 54, 43, 55, 37, 1
75, 67, 73, 75, 60, 58, 69, 71, 65, 61, 74, 78, 67, 64, 59, 57, 68, 68, 60, 61, 74, 72, 64, 66, 51, 51, 58, 53, 69, 63, 74, 76, 57, 60, 59, 64, 55, 60, 61, 59, 45, 56, 43, 50, 1
65, 60, 71, 72, 67, 72, 68, 72, 54, 55, 75, 70, 75, 75, 75, 70, 69, 68, 61, 62, 74, 71, 74, 79, 72, 76, 62, 61, 71, 68, 76, 75, 63, 60, 65, 70, 49, 48, 73, 68, 75, 74, 66, 67, 1
61, 66, 70, 75, 60, 60, 74, 75, 64, 67, 68, 75, 65, 64, 58, 57, 68, 70, 62, 68, 66, 75, 60, 65, 55, 51, 61, 67, 61, 64, 72, 78, 62, 69, 66, 70, 66, 73, 50, 59, 48, 55, 47, 45, 1
60, 51, 75, 60, 65, 45, 64, 55, 55, 61, 66, 74, 61, 50, 62, 41, 70, 63, 60, 62, 76, 69, 70, 54, 51, 47, 77, 80, 69, 48, 74, 59, 72, 57, 76, 68, 69, 63, 62, 53, 57, 31, 46, 30, 1
65, 69, 66, 76, 58, 67, 65, 72, 66, 64, 77, 75, 64, 62, 63, 59, 71, 61, 67, 45, 74, 45, 66, 46, 64, 48, 62, 27, 65, 67, 72, 72, 62, 66, 71, 64, 71, 70, 72, 69, 70, 65, 63, 61, 1
66, 64, 64, 66, 67, 72, 72, 77, 65, 66, 64, 64, 57, 61, 70, 66, 74, 78, 73, 72, 77, 75, 60, 58, 58, 61, 63, 60, 59, 60, 65, 65, 58, 58, 69, 73, 76, 75, 73, 75, 72, 72, 62, 62, 0
59, 58, 69, 74, 71, 73, 70, 68, 57, 55, 64, 68, 76, 75, 67, 66, 66, 63, 72, 67, 77, 75, 80, 75, 73, 69, 65, 61, 71, 75, 71, 77, 65, 66, 66, 66, 61, 56, 74, 71, 72, 69, 62, 60, 0
