@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
57, 69, 68, 75, 69, 74, 73, 71, 57, 61, 72, 74, 73, 69, 61, 58, 60, 55, 71, 62, 79, 70, 77, 71, 65, 63, 69, 55, 61, 68, 75, 74, 63, 64, 63, 58, 69, 67, 79, 77, 72, 70, 61, 65, 1
65, 62, 67, 68, 65, 67, 71, 71, 64, 56, 73, 72, 68, 69, 56, 57, 67, 62, 74, 66, 80, 76, 80, 78, 53, 47, 48, 36, 68, 65, 74, 73, 60, 60, 67, 63, 74, 63, 77, 79, 68, 70, 59, 56, 1
63, 58, 66, 55, 56, 58, 69, 74, 44, 48, 63, 60, 76, 67, 73, 73, 58, 66, 68, 63, 72, 74, 70, 72, 77, 75, 70, 71, 71, 67, 75, 73, 60, 59, 71, 70, 65, 62, 70, 69, 71, 70, 58, 61, 1
77, 61, 62, 68, 62, 58, 72, 68, 77, 71, 76, 77, 72, 75, 62, 57, 77, 74, 61, 58, 72, 76, 69, 68, 56, 53, 57, 54, 69, 70, 73, 79, 65, 70, 66, 68, 67, 66, 71, 67, 60, 60, 53, 57, 1
68, 76, 79, 78, 63, 73, 68, 78, 64, 71, 73, 77, 67, 71, 58, 57, 61, 63, 52, 64, 64, 74, 53, 72, 36, 44, 52, 54, 49, 56, 73, 81, 65, 80, 53, 60, 63, 70, 58, 64, 52, 57, 49, 50, 1
62, 67, 64, 70, 59, 58, 67, 74, 60, 66, 68, 68, 73, 71, 60, 63, 64, 74, 64, 65, 74, 77, 69, 73, 59, 58, 58, 67, 65, 69, 78, 76, 61, 62, 64, 67, 72, 74, 71, 71, 71, 69, 66, 61, 0
71, 61, 74, 74, 76, 74, 69, 56, 68, 78, 71, 78, 58, 64, 70, 72, 71, 68, 72, 71, 79, 78, 67, 68, 63, 60, 67, 67, 76, 74, 67, 79, 67, 71, 71, 64, 70, 74, 83, 76, 74, 73, 54, 54, 0
71, 71, 69, 71, 65, 65, 76, 73, 67, 66, 69, 79, 76, 76, 63, 62, 74, 71, 58, 66, 76, 78, 78, 74, 68, 66, 69, 68, 68, 68, 71, 74, 59, 57, 65, 66, 73, 71, 78, 74, 68, 70, 57, 55, 0
65, 68, 70, 78, 65, 72, 72, 74, 64, 69, 71, 73, 72, 68, 62, 62, 65, 62, 72, 75, 79, 78, 72, 76, 66, 67, 62, 61, 68, 76, 72, 78, 65, 64, 67, 63, 64, 67, 67, 77, 66, 66, 59, 57, 0
83, 64, 66, 67, 67, 74, 74, 72, 64, 68, 75, 73, 78, 73, 72, 57, 71, 67, 73, 65, 78, 73, 76, 69, 63, 57, 63, 53, 67, 60, 77, 74, 69, 64, 67, 64, 69, 63, 68, 54, 65, 64, 43, 42, 1
