@relation unknow
@attribute Age real [17.0, 90.0]
@attribute Workclass {Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked}
@attribute Fnlwgt real [13492.0, 1490400.0]
@attribute Education {Bachelors, Some-college, 11th, HS-grad, Prof-school, Assoc-acdm, Assoc-voc, 9th, 7th-8th, 12th, Masters, 1st-4th, 10th, Doctorate, 5th-6th, Preschool}
@attribute Education-num real [1.0, 16.0]
@attribute Marital-status {Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse}
@attribute Occupation {Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, Adm-clerical, Farming-fishing, Transport-moving, Priv-house-serv, Protective-serv, Armed-Forces}
@attribute Relationship {Wife, Own-child, Husband, Not-in-family, Other-relative, Unmarried}
@attribute Race {White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black}
@attribute Sex {Female, Male}
@attribute Capital-gain real [0.0, 99999.0]
@attribute Capital-loss real [0.0, 4356.0]
@attribute Hours-per-week real [1.0, 99.0]
@attribute Native-country {United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, Honduras, Philippines, Italy, Poland, Jamaica, Vietnam, Mexico, Portugal, Ireland, France, Dominican-Republic, Laos, Ecuador, Taiwan, Haiti, Columbia, Hungary, Guatemala, Nicaragua, Scotland, Thailand, Yugoslavia, El-Salvador, Trinadad&Tobago, Peru, Hong, Holand-Netherlands}
@attribute Class {>50K, <=50K}
@inputs Age, Workclass, Fnlwgt, Education, Education-num, Marital-status, Occupation, Relationship, Race, Sex, Capital-gain, Capital-loss, Hours-per-week, Native-country
@outputs Class
@data
24.0, Private, 369667.0, Some-college, 10.0, Never-married, Other-service, Unmarried, White, Female, 0.0, 0.0, 40.0, United-States, <=50K
23.0, Private, 134446.0, HS-grad, 9.0, Separated, Machine-op-inspct, Unmarried, Black, Male, 0.0, 0.0, 54.0, United-States, <=50K
20.0, State-gov, 138371.0, Some-college, 10.0, Never-married, Farming-fishing, Own-child, White, Male, 0.0, 0.0, 32.0, United-States, <=50K
52.0, Private, 201062.0, 11th, 7.0, Separated, Priv-house-serv, Not-in-family, Black, Female, 0.0, 0.0, 18.0, United-States, <=50K
39.0, Private, 118429.0, Some-college, 10.0, Divorced, Sales, Not-in-family, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
46.0, Private, 170338.0, HS-grad, 9.0, Separated, Transport-moving, Not-in-family, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
46.0, Private, 269034.0, Some-college, 10.0, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0.0, 0.0, 40.0, Dominican-Republic, <=50K
24.0, Federal-gov, 228724.0, Some-college, 10.0, Never-married, Armed-Forces, Not-in-family, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
58.0, Self-emp-not-inc, 301568.0, 9th, 5.0, Widowed, Other-service, Not-in-family, White, Female, 0.0, 0.0, 40.0, United-States, <=50K
18.0, Private, 262118.0, Some-college, 10.0, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female, 0.0, 0.0, 22.0, Germany, <=50K
34.0, Private, 159303.0, Masters, 14.0, Never-married, Prof-specialty, Own-child, White, Female, 0.0, 0.0, 30.0, United-States, <=50K
44.0, Private, 26669.0, Assoc-voc, 11.0, Widowed, Exec-managerial, Unmarried, White, Female, 0.0, 0.0, 30.0, United-States, <=50K
38.0, Self-emp-inc, 93225.0, Bachelors, 13.0, Divorced, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
29.0, Private, 142249.0, Bachelors, 13.0, Never-married, Sales, Own-child, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
31.0, Private, 156493.0, Some-college, 10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0.0, 0.0, 40.0, United-States, >50K
36.0, Private, 236391.0, Some-college, 10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0.0, 0.0, 45.0, United-States, >50K
24.0, Private, 325596.0, Assoc-voc, 11.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 45.0, United-States, <=50K
34.0, Private, 198613.0, Masters, 14.0, Never-married, Exec-managerial, Own-child, White, Male, 4650.0, 0.0, 40.0, United-States, <=50K
22.0, Private, 199266.0, HS-grad, 9.0, Never-married, Other-service, Not-in-family, White, Female, 0.0, 0.0, 45.0, United-States, <=50K
39.0, Private, 163205.0, Bachelors, 13.0, Separated, Prof-specialty, Not-in-family, White, Male, 0.0, 0.0, 50.0, United-States, >50K
28.0, Self-emp-inc, 142443.0, Bachelors, 13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, United-States, <=50K
45.0, Private, 411273.0, 7th-8th, 4.0, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0.0, 0.0, 40.0, United-States, <=50K
23.0, Private, 180497.0, Bachelors, 13.0, Never-married, Tech-support, Own-child, Black, Female, 0.0, 0.0, 32.0, United-States, <=50K
28.0, Local-gov, 134890.0, Masters, 14.0, Never-married, Prof-specialty, Not-in-family, White, Male, 0.0, 0.0, 40.0, United-States, <=50K
25.0, Private, 177221.0, HS-grad, 9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0.0, 0.0, 75.0, United-States, <=50K
30.0, Private, 296462.0, HS-grad, 9.0, Never-married, Exec-managerial, Not-in-family, Black, Male, 0.0, 0.0, 40.0, United-States, <=50K
39.0, Private, 329980.0, Some-college, 10.0, Married-civ-spouse, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, United-States, >50K
