@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
37, 0, 101, -7, 28, 0, 64, 73, 8, 1
37, 4, 80, 0, -2, 0, 43, 83, 40, 1
56, -4, 97, 0, 52, -2, 41, 45, 4, 4
56, -4, 88, 0, 56, 0, 31, 31, 0, 1
37, -3, 81, -2, 38, -9, 43, 42, 0, 1
101, -3, 102, -4, 72, 0, 1, 29, 28, 5
45, 0, 86, 0, 44, -17, 41, 42, 2, 1
37, 0, 77, -1, 36, 4, 40, 41, 0, 1
49, 0, 77, 5, 50, 5, 28, 28, 0, 1
53, 5, 84, 0, 52, -5, 31, 32, 2, 1
55, 0, 77, 0, -14, -4, 21, 92, 70, 4
37, 0, 81, -1, 36, -18, 43, 44, 2, 1
46, 1, 83, 0, 44, -9, 37, 39, 2, 1
48, -3, 109, -6, 46, 0, 61, 62, 2, 1
55, 0, 82, 0, -42, -9, 26, 126, 100, 4
50, 3, 107, 0, 50, 0, 57, 58, 0, 1
45, 1, 80, 0, 46, 31, 35, 34, 0, 1
58, 5, 88, 0, 56, 0, 30, 31, 2, 1
79, 2, 83, 0, -42, -19, 4, 126, 122, 5
37, 0, 78, 0, 16, -11, 42, 63, 22, 1
55, 0, 83, 5, -24, 0, 27, 108, 82, 4
44, 0, 81, -1, 44, 5, 37, 37, 0, 1
44, 2, 75, 0, 44, 11, 31, 31, 0, 1
37, -67, 106, 0, 36, 31, 69, 69, 0, 1
46, 2, 78, 0, 46, 9, 32, 32, 0, 1
61, -2, 111, 0, 60, 0, 50, 52, 2, 1
49, 0, 78, 0, 50, 3, 29, 29, 0, 1
41, 0, 82, -2, 38, -3, 41, 43, 2, 1
84, 6, 89, 0, 6, -6, 5, 84, 78, 5
79, 6, 83, 1, -40, 13, 4, 124, 120, 5
85, -3, 88, 0, 2, -25, 3, 86, 82, 5
37, 0, 103, 0, 24, 16, 66, 80, 14, 1
47, -2, 106, 0, 46, 0, 59, 60, 0, 1
37, 0, 75, 0, 20, 11, 38, 54, 16, 1
53, 0, 86, 0, 52, -10, 33, 34, 2, 1
37, 0, 78, 0, 6, -4, 41, 73, 32, 1
49, -1, 81, 0, 50, 5, 33, 32, 0, 1
44, -4, 77, 0, 44, 4, 34, 34, 0, 1
37, 0, 77, 0, 2, -11, 40, 75, 34, 1
37, 0, 106, 0, 28, -9, 69, 78, 8, 1
49, -1, 79, 0, 50, 1, 30, 30, 0, 1
37, 0, 104, -2, 16, -14, 67, 89, 22, 1
55, 0, 92, 0, 30, -7, 37, 61, 24, 4
84, 1, 87, 0, -4, 0, 3, 92, 88, 5
49, 0, 95, 0, 46, -6, 47, 49, 2, 1
45, -1, 88, 0, 44, 0, 44, 44, 0, 1
55, 1, 77, 0, 54, 0, 23, 23, 0, 1
37, 2, 97, 0, 34, -2, 60, 64, 4, 1
55, 0, 78, -1, 0, -3, 23, 78, 56, 4
37, 0, 83, 0, 30, -23, 46, 52, 6, 1
56, 0, 96, -2, 52, -1, 40, 44, 4, 4
37, 0, 81, 0, 24, -18, 44, 57, 14, 1
56, 0, 93, 2, 46, 0, 37, 46, 10, 4
41, 2, 86, 5, 42, 10, 45, 45, 0, 1
44, -3, 86, 0, 44, 0, 42, 42, 0, 1
37, 0, 79, 0, 36, -8, 42, 43, 2, 1
54, -1, 82, 0, 54, 0, 28, 28, 0, 1
49, 0, 95, 2, 50, 1, 46, 46, 0, 1
57, 0, 81, 3, 56, 0, 24, 24, 0, 1
37, 0, 95, -2, 18, -10, 58, 77, 18, 1
56, 0, 77, 0, -10, 5, 21, 87, 66, 4
37, 0, 78, 0, 10, 20, 41, 68, 26, 1
41, 0, 83, 0, 42, 9, 41, 41, 0, 1
49, 0, 82, 0, 50, 11, 33, 33, 0, 1
39, -3, 78, 6, 38, 0, 39, 39, 0, 1
43, 0, 81, 0, 42, -4, 38, 40, 2, 1
62, 0, 109, 2, 60, 0, 47, 49, 2, 1
37, 0, 77, 4, 8, 0, 41, 70, 28, 1
37, 0, 77, -2, 8, 0, 40, 69, 28, 1
37, 0, 83, 0, 2, -23, 46, 80, 34, 1
43, 0, 85, 1, 42, 0, 42, 44, 2, 1
37, 0, 81, 1, 36, 0, 43, 44, 2, 1
56, 1, 98, 0, 44, -1, 42, 54, 12, 4
43, 0, 81, 0, 44, 22, 37, 37, 0, 1
55, 0, 95, 0, 46, -15, 40, 49, 8, 4
43, -5, 87, 0, 44, 20, 44, 43, 0, 1
56, 0, 95, 0, 50, 6, 40, 46, 6, 4
49, 4, 77, 0, 50, 3, 28, 28, 0, 1
37, 0, 78, 0, 2, 28, 41, 75, 34, 1
56, 0, 97, -3, 46, 0, 41, 50, 10, 4
37, 0, 75, 0, 26, -8, 38, 49, 12, 1
37, 2, 77, 0, 34, 0, 40, 43, 4, 1
55, -1, 79, -3, 26, -6, 23, 53, 30, 4
56, 0, 77, 0, -24, -7, 21, 103, 82, 4
44, 4, 84, 0, 44, 2, 40, 41, 0, 1
37, -1, 81, -3, 36, -46, 43, 44, 2, 1
51, 1, 91, 0, 52, 9, 40, 39, 0, 1
37, 0, 74, -4, 28, 0, 38, 46, 8, 1
53, 0, 84, 0, 52, -17, 31, 32, 2, 1
52, 2, 83, 0, 52, 0, 30, 31, 0, 1
44, 1, 79, 0, 42, -14, 35, 37, 2, 1
38, 3, 76, -4, 38, 0, 38, 37, 0, 1
56, 0, 76, 0, -12, 31, 20, 89, 68, 4
37, 0, 80, 0, 30, -1, 43, 49, 6, 1
37, 0, 80, -7, -2, 0, 43, 83, 40, 1
56, 0, 92, 7, 50, 0, 36, 43, 6, 4
46, 0, 84, -7, 46, 0, 39, 38, 0, 1
42, -1, 87, 0, 42, 0, 45, 46, 2, 1
37, 0, 83, 0, -4, -26, 47, 88, 42, 1
45, 0, 76, 0, 44, -15, 31, 32, 2, 1
38, 0, 81, 0, 38, 7, 43, 42, 0, 1
105, 0, 107, -3, 70, -4, 1, 37, 36, 5
39, -3, 82, 0, 38, 0, 43, 43, 0, 1
66, 0, 113, 0, 64, -18, 47, 48, 2, 1
49, 0, 86, -3, 50, 9, 38, 37, 0, 1
55, 0, 93, 0, 52, -30, 38, 42, 4, 4
105, 2, 106, 0, 70, 0, 1, 36, 36, 5
49, 0, 95, 0, 50, 10, 47, 46, 0, 1
48, 0, 88, 4, 46, 0, 40, 42, 2, 1
55, -1, 85, 0, 54, 0, 30, 31, 0, 1
37, 0, 83, 0, 30, 13, 46, 52, 6, 1
55, 0, 81, -1, -14, -30, 26, 97, 70, 4
53, 5, 81, 0, 54, 1, 27, 26, 0, 1
49, -1, 81, -2, 50, -19, 32, 32, 0, 1
83, 0, 86, 0, -6, -23, 3, 94, 90, 5
56, 0, 83, 0, 56, 11, 27, 26, 0, 1
47, 0, 87, -2, 46, 0, 40, 41, 0, 1
37, 4, 94, 0, 8, -6, 57, 86, 30, 1
45, 0, 81, 0, 46, 5, 36, 35, 0, 1
43, 0, 80, -3, 42, 0, 37, 39, 2, 1
43, 0, 90, 0, 42, -16, 47, 49, 2, 1
37, 0, 79, 0, 16, -16, 42, 64, 22, 1
37, 0, 83, 0, 0, 25, 46, 83, 36, 1
37, 3, 97, 0, 36, 0, 60, 61, 0, 1
55, 1, 79, 0, 54, -6, 24, 25, 2, 1
53, 0, 108, 0, 52, -23, 55, 56, 2, 1
37, 0, 81, 8, 16, 0, 44, 65, 22, 1
55, 0, 92, -3, 0, 0, 37, 92, 56, 4
44, 0, 81, 0, 42, -18, 37, 39, 2, 1
51, 0, 88, 0, 50, -30, 36, 39, 2, 1
45, 0, 76, 0, 44, -9, 30, 32, 2, 1
47, 5, 82, 0, 46, 0, 34, 35, 0, 1
37, 0, 78, 0, -4, 3, 42, 83, 42, 1
37, 0, 78, 0, -2, 1, 41, 81, 40, 1
51, -4, 77, 0, 52, 17, 27, 26, 0, 1
44, 2, 76, 0, 44, 2, 32, 32, 0, 1
37, 1, 104, 0, 18, 9, 66, 86, 20, 1
37, 0, 75, 0, 28, -31, 38, 46, 8, 1
39, 0, 106, 6, 38, 0, 68, 67, 0, 1
56, 0, 86, 0, 54, -25, 30, 32, 2, 1
56, 0, 86, 0, 54, -9, 31, 32, 2, 1
37, 0, 97, 0, 34, 11, 60, 64, 4, 1
43, 1, 85, 0, 42, 0, 42, 44, 2, 1
37, 0, 82, 1, -2, 7, 45, 85, 40, 1
44, 0, 83, 0, 42, -24, 40, 42, 2, 1
56, 0, 80, 0, 20, 0, 24, 59, 36, 4
53, 0, 80, 0, 54, 1, 27, 26, 0, 1
76, -2, 81, 0, -40, 14, 5, 122, 116, 5
76, 0, 80, -1, -40, 0, 4, 121, 118, 5
37, 0, 97, -2, 20, -6, 60, 77, 16, 1
37, 0, 83, 0, 8, 14, 46, 75, 30, 1
46, -5, 76, -2, 46, 0, 30, 30, 0, 1
39, -1, 78, -5, 38, 0, 39, 39, 0, 1
103, 1, 104, 8, 70, 0, 1, 35, 34, 5
37, 0, 79, -1, 0, 8, 42, 79, 36, 1
50, -4, 86, -7, 50, -1, 36, 37, 0, 1
56, 1, 82, 0, 56, 2, 26, 25, 0, 1
56, 0, 87, 0, 56, 8, 31, 30, 0, 1
55, -1, 81, 0, 54, 0, 26, 27, 0, 1
41, 0, 81, 0, 38, -21, 40, 42, 2, 1
55, 0, 77, 0, -28, -12, 21, 105, 84, 4
37, 0, 96, 0, 30, 13, 59, 65, 6, 1
37, 0, 82, 0, 18, 3, 45, 64, 18, 1
43, 0, 75, 0, 44, 19, 32, 31, 0, 1
53, 2, 88, 0, 52, -10, 35, 36, 2, 1
43, 0, 76, 0, 42, -16, 32, 34, 2, 1
39, -2, 97, 0, 38, 0, 58, 59, 0, 1
81, 5, 86, 2, -40, 8, 4, 127, 122, 5
86, 5, 89, 0, 2, -14, 3, 86, 84, 5
37, 0, 108, 0, 36, 9, 71, 72, 0, 1
41, 0, 81, 2, 42, 0, 39, 39, 0, 1
37, 0, 78, 0, 0, -5, 42, 78, 36, 1
55, 0, 95, 1, 38, 15, 40, 57, 16, 4
41, -4, 76, 0, 42, 4, 35, 35, 0, 1
55, 0, 89, 0, 56, 31, 34, 32, 0, 1
46, -1, 85, -5, 46, -7, 39, 39, 0, 1
