@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
53, 8, 77, 0, 28, 0, 23, 48, 24, 4
38, 2, 77, 0, 38, 7, 39, 38, 0, 1
37, -318, 105, -2, 36, -4, 68, 69, 0, 1
44, 3, 77, 0, 44, 2, 33, 33, 0, 1
55, -1, 98, 0, 52, 8, 42, 46, 4, 4
59, 4, 84, 0, 60, 24, 25, 24, 0, 1
46, 2, 77, 0, 44, -19, 32, 34, 2, 1
47, 5, 79, 0, 46, 0, 32, 32, 0, 1
104, 7, 105, 7, 70, 0, 1, 35, 34, 5
42, 4, 77, 0, 42, 1, 35, 35, 0, 1
41, 0, 77, 0, 42, 5, 37, 36, 0, 1
41, 0, 84, 2, 42, 25, 43, 43, 0, 1
37, -3, 77, 0, 20, 0, 40, 56, 16, 1
81, 0, 84, 0, -12, 29, 4, 97, 94, 5
37, 0, 77, 0, 8, -8, 41, 70, 28, 1
43, 0, 81, 3, 42, -4, 38, 40, 2, 1
37, 0, 106, 17, 28, 0, 69, 77, 8, 1
37, 0, 79, 0, 26, -22, 42, 53, 12, 1
55, 0, 78, 0, 0, -3, 23, 78, 56, 4
46, -3, 109, 2, 46, 0, 63, 63, 0, 1
55, -1, 79, 0, 16, 0, 23, 63, 40, 4
37, 0, 81, 2, 26, 0, 44, 55, 10, 1
83, 0, 86, 0, -4, 0, 3, 92, 88, 5
43, -1, 83, 0, 42, -6, 39, 41, 2, 1
55, 0, 96, 0, 46, 9, 41, 50, 8, 4
49, 0, 95, 3, 50, 4, 46, 46, 0, 1
55, -3, 96, 0, 54, -3, 41, 42, 2, 1
37, 0, 81, 0, 18, -26, 44, 63, 18, 1
43, 0, 77, 10, 42, -34, 34, 36, 2, 1
37, -38, 106, -104, 30, -17, 69, 75, 6, 3
55, 0, 92, 0, 46, -3, 37, 46, 8, 4
51, 2, 81, -5, 50, 0, 30, 32, 2, 1
44, 0, 79, -2, 44, 0, 35, 35, 0, 1
55, 0, 90, 0, 54, 0, 36, 36, 0, 1
55, -1, 81, -6, 54, -8, 26, 27, 0, 1
41, 1, 107, 0, 38, -7, 66, 68, 2, 1
55, 0, 95, 0, 46, 27, 40, 49, 8, 4
45, 0, 81, 0, 44, -3, 36, 37, 2, 1
37, -1, 76, -3, 20, -7, 39, 55, 16, 1
37, -3, 77, 0, 38, 8, 39, 38, 0, 1
37, -15, 78, 0, 10, 0, 42, 68, 26, 1
56, 1, 80, 0, 56, 1, 24, 23, 0, 1
62, -2, 108, 0, 60, 0, 45, 48, 2, 1
50, -3, 81, 0, 50, 0, 31, 32, 2, 1
41, -1, 81, 0, 42, 0, 39, 39, 0, 1
76, 0, 81, 8, -40, 9, 5, 122, 116, 5
56, 0, 96, 4, 34, 0, 40, 62, 22, 4
55, -4, 96, 0, 50, 0, 41, 47, 6, 4
37, 0, 95, 1, 10, 0, 58, 84, 26, 1
42, 0, 80, -7, 42, 0, 38, 39, 0, 1
37, 0, 79, -5, 26, 0, 43, 54, 10, 1
53, 0, 84, 0, 54, 11, 32, 30, 0, 1
55, 0, 77, 1, -18, 8, 21, 95, 74, 4
56, 0, 97, 0, 52, 21, 41, 46, 4, 4
37, 0, 81, 5, 34, 1, 43, 47, 4, 1
56, 0, 96, 0, 54, 14, 40, 42, 2, 1
80, -4, 84, 0, -14, 0, 4, 99, 96, 5
37, 0, 75, 0, 26, 23, 38, 49, 12, 1
56, 1, 77, 0, 16, -1, 22, 62, 40, 4
41, -2, 81, 0, 42, 6, 40, 39, 0, 1
55, 0, 78, 0, 24, -24, 23, 55, 32, 4
37, 0, 77, -1, 34, 2, 40, 43, 4, 1
42, 0, 78, -3, 42, 0, 37, 37, 0, 1
55, 0, 96, 1, 42, -5, 41, 55, 14, 4
47, 0, 76, 7, 46, 0, 30, 30, 0, 1
57, 0, 82, 5, 56, 0, 25, 25, 0, 1
37, 0, 81, 0, 20, 6, 44, 60, 16, 1
43, 0, 86, 2, 42, -1, 43, 45, 2, 1
55, 4, 86, 0, 54, 0, 30, 32, 2, 1
38, -3, 77, 6, 38, 0, 39, 38, 0, 1
45, 0, 76, -1, 44, -6, 31, 32, 2, 1
45, -1, 88, 0, 44, -16, 42, 44, 2, 1
55, 2, 72, -13, 0, 1, 17, 72, 56, 4
37, 0, 81, -1, 36, 0, 44, 45, 0, 1
48, 0, 82, -1, 46, -2, 34, 35, 2, 1
47, 0, 86, -7, 46, 0, 39, 40, 0, 1
37, 0, 81, 0, -2, 13, 44, 84, 40, 1
54, 1, 82, 0, 54, 0, 28, 28, 0, 1
79, 0, 83, 0, -30, 38, 4, 114, 110, 5
37, 0, 81, -4, 20, 1, 44, 61, 16, 1
37, 0, 105, 0, 18, 22, 68, 87, 18, 1
55, 4, 89, 0, 54, 0, 34, 35, 0, 1
41, 0, 83, 4, 38, -7, 42, 44, 2, 1
42, 0, 86, -1, 42, 0, 44, 45, 2, 1
42, 0, 84, -1, 42, -1, 42, 43, 2, 1
55, 0, 77, -7, 16, 10, 22, 62, 40, 4
45, 0, 106, 0, 46, 14, 61, 60, 0, 1
45, 0, 76, 0, 46, 25, 30, 29, 0, 1
41, 1, 78, 0, 38, -14, 37, 39, 2, 1
44, 1, 75, 0, 42, -20, 31, 34, 2, 1
37, 0, 82, 0, 16, 1, 45, 66, 22, 1
41, 0, 77, 0, 42, 15, 37, 36, 0, 1
49, 0, 88, 1, 50, 19, 40, 39, 0, 1
37, 0, 77, 0, 34, -4, 40, 43, 4, 1
49, 0, 95, 0, 50, 28, 47, 46, 0, 1
46, 0, 85, 0, 44, -27, 39, 41, 2, 1
45, 0, 83, 0, 46, 29, 37, 36, 0, 1
43, 0, 83, 1, 42, -8, 39, 41, 2, 1
56, 4, 97, -4, 46, 0, 41, 51, 10, 4
55, 0, 95, -1, 52, 21, 40, 44, 4, 4
37, 0, 105, 0, 24, 5, 68, 82, 14, 1
48, 0, 84, 2, 46, 0, 36, 37, 2, 1
55, 1, 83, -3, 54, 0, 29, 29, 0, 1
45, 0, 88, 0, 44, -7, 42, 44, 2, 1
44, 2, 81, 0, 44, 9, 38, 37, 0, 1
39, 0, 78, 8, 38, 0, 39, 39, 0, 1
37, -2, 80, 0, 18, -7, 43, 62, 18, 1
54, -8, 74, -21, 0, 0, 20, 74, 54, 4
41, 0, 84, 0, 42, 9, 44, 43, 0, 1
101, 0, 102, 0, 70, -12, 1, 32, 32, 5
37, 0, 76, 8, 34, -6, 39, 43, 4, 1
49, 0, 88, -3, 50, 7, 40, 39, 0, 1
52, -2, 83, 0, 52, -3, 31, 32, 0, 1
41, 0, 84, 2, 38, -10, 44, 46, 2, 1
44, 0, 95, 0, 42, -22, 52, 54, 2, 1
56, 0, 95, 0, 42, -6, 40, 54, 14, 4
55, 0, 93, 0, 38, -30, 37, 54, 16, 4
