@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
37, 0, 76, 0, 28, 18, 40, 48, 8, 1
45, 0, 84, 0, 46, 20, 38, 37, 0, 1
79, 5, 83, 0, -46, 0, 4, 130, 126, 5
37, 0, 108, 0, 30, -21, 71, 77, 6, 1
40, 0, 80, 0, 38, -2, 40, 41, 2, 1
42, 0, 81, -2, 42, -4, 39, 39, 0, 1
56, -3, 87, 0, 56, 0, 31, 30, 0, 1
37, 0, 76, -5, 28, 6, 39, 47, 8, 1
50, -4, 85, 0, 50, 0, 35, 36, 2, 1
41, 0, 77, 7, 38, 0, 36, 38, 2, 1
43, 0, 84, 0, 44, 13, 41, 41, 0, 1
56, 4, 96, 0, 52, 10, 40, 44, 4, 4
37, 0, 97, 0, 24, -30, 60, 73, 14, 1
55, 0, 77, -2, 28, 0, 21, 48, 28, 4
45, 0, 86, 0, 44, -10, 41, 42, 2, 1
38, 2, 80, 0, 38, 4, 42, 41, 0, 1
51, 0, 83, 0, 52, 19, 31, 31, 0, 1
41, 0, 81, 0, 38, -3, 41, 43, 2, 1
45, -1, 77, 2, 44, 0, 32, 33, 0, 1
49, 0, 84, 0, 50, 18, 35, 35, 0, 1
53, 0, 81, 4, 52, -22, 28, 29, 2, 1
70, 57, 82, 0, -42, -4, 12, 126, 114, 2
56, 0, 86, 0, 56, 15, 31, 30, 0, 1
56, -1, 98, 4, 50, 23, 42, 49, 6, 4
37, 3, 77, 0, 36, 0, 41, 41, 0, 1
56, 2, 81, 4, -4, 0, 25, 86, 62, 4
55, 0, 95, -2, 50, -10, 40, 46, 6, 4
39, -2, 86, 0, 38, 0, 46, 47, 0, 1
46, 2, 88, 0, 46, 3, 42, 41, 0, 1
46, 0, 87, -7, 46, 0, 41, 41, 0, 1
43, 0, 79, 3, 42, 0, 37, 38, 2, 1
53, 0, 103, -1, 52, -17, 50, 51, 2, 1
44, 2, 83, 0, 44, 9, 39, 39, 0, 1
43, 0, 102, 0, 44, 15, 59, 58, 0, 1
51, -4, 86, 0, 52, 17, 35, 34, 0, 1
45, 0, 79, 0, 46, 5, 34, 33, 0, 1
80, 1, 84, 0, -28, 0, 4, 112, 108, 5
56, 0, 79, -1, 6, -3, 23, 74, 50, 4
50, -2, 81, -6, 50, -8, 32, 32, 0, 1
48, -4, 79, 0, 46, 0, 31, 33, 2, 1
42, -3, 99, 0, 42, 0, 57, 58, 2, 1
83, 0, 86, 0, -6, -21, 3, 94, 90, 5
56, 5, 80, 0, -2, 4, 24, 83, 58, 4
105, 0, 106, -3, 72, 8, 1, 34, 34, 5
37, 0, 81, 0, 38, 9, 43, 42, 0, 1
43, 1, 102, 0, 42, 0, 60, 61, 2, 1
37, -1, 106, -3, 36, -5, 69, 69, 0, 1
37, -2, 75, 0, 36, -13, 37, 39, 2, 1
55, 0, 83, 0, -30, -2, 27, 114, 86, 4
41, 0, 79, 4, 42, 5, 38, 38, 0, 1
38, -2, 92, 0, 26, 31, 54, 66, 12, 1
45, 0, 88, 0, 44, -12, 42, 44, 2, 1
55, 4, 77, 0, 54, 0, 22, 23, 0, 1
48, -1, 84, -3, 46, -5, 36, 38, 2, 1
44, 0, 86, -2, 44, 2, 43, 42, 0, 1
42, 0, 81, 4, 42, 0, 39, 39, 0, 1
37, 0, 77, 0, 38, 4, 39, 38, 0, 1
48, 1, 94, 1, 46, 0, 46, 48, 2, 1
38, 2, 76, 0, 38, 10, 38, 37, 0, 1
38, 3, 86, 0, 38, 21, 49, 48, 0, 1
37, 0, 105, -1, 24, -4, 68, 82, 14, 1
54, -2, 78, -1, 54, 0, 24, 24, 0, 1
41, 0, 82, -1, 38, -13, 41, 43, 2, 1
55, 4, 81, 1, 54, 0, 27, 27, 0, 1
41, 0, 86, -2, 38, -11, 45, 47, 2, 1
55, 0, 77, 0, 12, -11, 22, 65, 42, 4
37, 0, 83, 0, 6, -10, 47, 78, 32, 1
55, 0, 83, 0, -28, 1, 27, 111, 84, 4
55, 0, 76, 0, -22, 3, 21, 99, 78, 4
43, 0, 79, 5, 42, 0, 37, 38, 2, 1
37, 0, 106, -3, 24, 0, 69, 82, 14, 1
43, 0, 81, -5, 42, -1, 37, 39, 2, 1
38, 0, 93, 0, 34, 21, 55, 59, 4, 1
55, 0, 77, -3, 30, 0, 21, 46, 24, 4
50, -3, 77, 0, 50, 0, 27, 28, 0, 1
53, 0, 86, 0, 52, -29, 33, 34, 2, 1
55, 0, 77, 8, -18, 0, 21, 95, 74, 4
55, 0, 92, 0, 34, 0, 37, 59, 22, 4
43, 0, 75, -2, 42, 0, 32, 34, 2, 1
37, 0, 95, 3, 10, 0, 58, 84, 26, 1
39, 0, 81, -3, 38, 0, 41, 42, 0, 1
54, 4, 79, 1, 54, 0, 25, 25, 0, 1
37, 1, 90, 0, 28, 4, 53, 62, 8, 1
44, 1, 84, 0, 44, 15, 40, 40, 0, 1
51, 0, 78, -4, 52, 1, 27, 26, 0, 1
48, -5, 81, 6, 46, 0, 33, 35, 2, 1
47, 0, 102, 1, 46, 0, 56, 56, 0, 1
55, -4, 80, 0, -2, 0, 25, 83, 58, 4
37, 2, 75, 0, 18, -19, 38, 57, 18, 1
37, 0, 79, 0, 2, -8, 42, 76, 34, 1
51, 0, 85, 0, 50, -2, 34, 36, 2, 1
41, 0, 79, 0, 42, 21, 38, 37, 0, 1
59, -2, 84, 0, 60, 14, 25, 24, 0, 1
47, 0, 79, 8, 46, 0, 32, 32, 0, 1
46, -3, 88, 0, 46, 0, 41, 41, 0, 1
42, 1, 79, 2, 42, 0, 37, 38, 0, 1
42, -2, 82, 0, 42, 0, 39, 41, 2, 1
55, 0, 96, 0, 52, 11, 41, 44, 4, 4
37, 0, 75, 5, 28, 0, 38, 46, 8, 1
37, 0, 91, 0, 16, -3, 53, 75, 22, 1
39, 1, 93, 0, 36, 11, 54, 57, 2, 1
