@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
41, 0, 100, 0, 38, -8, 59, 61, 2, 1
37, 0, 74, 0, 26, -1, 38, 48, 10, 1
51, 0, 79, 0, 52, 29, 28, 27, 0, 1
56, 3, 97, 0, 46, 9, 41, 51, 10, 4
56, 0, 80, 0, 56, 7, 24, 23, 0, 1
51, 1, 88, 0, 52, 7, 37, 37, 0, 1
55, -1, 79, -4, 20, -12, 24, 59, 34, 4
44, 0, 82, -1, 44, 0, 38, 38, 0, 1
42, 0, 79, -2, 42, 0, 36, 37, 2, 1
43, 0, 95, -4, 42, -4, 52, 54, 2, 1
79, 0, 83, 0, -40, 3, 4, 125, 120, 5
56, 0, 92, 0, -2, -4, 36, 95, 58, 4
42, 5, 79, 5, 42, 0, 37, 38, 0, 1
37, 0, 76, 0, 38, 14, 38, 37, 0, 1
37, 0, 77, 5, -12, -10, 41, 90, 50, 1
56, 0, 82, 1, 54, -12, 26, 28, 2, 1
43, 0, 81, 0, 44, 15, 37, 37, 0, 1
49, -2, 77, 3, 46, -30, 28, 30, 2, 1
37, 0, 83, 0, 34, 5, 46, 49, 4, 1
50, -4, 83, 0, 50, 0, 33, 34, 2, 1
46, 0, 107, 0, 46, 4, 61, 60, 0, 1
53, 0, 79, 0, 54, 14, 26, 24, 0, 1
56, 0, 93, -7, 50, 0, 37, 44, 6, 4
80, 0, 85, 6, -40, 10, 5, 126, 122, 5
53, -1, 88, 0, 54, 4, 35, 34, 0, 1
56, 4, 98, -4, 42, 0, 42, 57, 14, 4
51, -3, 84, 4, 52, 1, 33, 32, 0, 1
37, 0, 78, 0, 12, 11, 41, 65, 24, 1
45, 0, 79, 0, 46, 6, 33, 32, 0, 1
56, 0, 78, 0, 44, 1, 22, 34, 12, 4
43, 0, 77, 0, 42, -8, 34, 36, 2, 1
43, 0, 77, 0, 42, -19, 34, 35, 2, 1
37, 0, 79, 0, 36, 9, 42, 43, 2, 1
46, 0, 78, -7, 46, 5, 32, 32, 0, 1
44, 4, 82, -7, 44, 1, 38, 38, 0, 1
52, -3, 86, 0, 52, -4, 33, 34, 0, 1
82, 1, 86, 0, -6, 0, 3, 94, 90, 5
44, 1, 88, 0, 44, 4, 44, 44, 0, 1
52, -3, 88, 0, 52, 0, 35, 36, 0, 1
46, 4, 77, 0, 44, -21, 32, 34, 2, 1
54, 3, 83, -3, 54, 0, 29, 29, 0, 1
102, 0, 103, 0, 72, 24, 1, 31, 30, 5
56, 0, 79, 0, 12, 11, 23, 66, 42, 4
44, 0, 87, -5, 44, 0, 43, 43, 0, 1
57, 0, 82, 0, 56, 0, 25, 25, 0, 1
106, 0, 107, -5, 70, 0, 1, 37, 36, 5
37, 0, 79, 3, 8, 0, 42, 71, 30, 1
52, -3, 84, 0, 52, 0, 31, 32, 0, 1
44, 0, 81, 2, 42, -12, 37, 39, 2, 1
45, 0, 82, 0, 44, -11, 37, 38, 2, 1
56, 0, 76, 0, -12, -19, 20, 89, 68, 4
43, -2, 77, 0, 42, -16, 34, 36, 2, 1
85, 0, 88, 1, -2, 0, 3, 91, 88, 5
55, -1, 79, -6, 20, -20, 24, 59, 34, 4
58, 0, 88, 5, 56, 0, 30, 31, 2, 1
44, 0, 86, -2, 42, -30, 42, 44, 2, 1
37, 0, 106, 7, 36, 0, 69, 70, 2, 1
37, -5, 77, 0, 36, 1, 40, 41, 0, 1
45, -4, 79, 0, 44, -15, 33, 35, 2, 1
44, -3, 77, 0, 44, 17, 33, 33, 0, 1
55, 0, 78, -1, 8, 1, 23, 70, 48, 4
37, 0, 106, 0, 24, -13, 68, 82, 14, 1
45, -1, 81, 0, 44, -17, 36, 37, 2, 1
42, -5, 84, 0, 42, 0, 42, 43, 2, 1
83, 0, 86, 0, -2, 21, 3, 89, 86, 5
37, 0, 104, 0, 26, -25, 66, 78, 12, 1
48, 0, 95, 0, 46, 0, 47, 49, 2, 1
45, 2, 93, 0, 46, 23, 48, 47, 0, 1
56, 0, 92, 0, 54, 3, 36, 38, 2, 1
45, -5, 82, 0, 44, -25, 37, 38, 2, 1
53, 1, 78, 0, 52, -7, 25, 26, 2, 1
37, -1, 79, 0, 28, 0, 42, 51, 8, 1
44, 1, 107, 0, 44, 0, 63, 63, 0, 1
37, 0, 76, 0, 28, 21, 39, 48, 8, 1
37, 0, 80, 5, 26, 0, 43, 54, 10, 1
37, 0, 76, 2, 30, 25, 40, 45, 6, 1
45, 0, 81, 0, 46, 18, 36, 35, 0, 1
44, 0, 87, 0, 44, 12, 43, 43, 0, 1
52, -3, 84, 0, 52, -4, 31, 32, 0, 1
51, -2, 87, 0, 50, -13, 36, 38, 2, 1
45, 0, 82, 0, 44, -9, 37, 38, 2, 1
81, 0, 85, 0, -22, 0, 4, 108, 104, 5
49, 0, 84, 0, 50, 10, 36, 35, 0, 1
37, -16, 106, -19, 30, -13, 69, 75, 6, 1
43, 0, 86, 0, 44, 13, 42, 42, 0, 1
55, -1, 79, -5, 18, -11, 23, 61, 38, 4
37, 0, 79, 0, 12, -17, 43, 66, 24, 1
51, 0, 81, 0, 50, -3, 30, 32, 2, 1
46, 0, 76, 5, 46, 1, 30, 30, 0, 1
45, 3, 81, 0, 44, -6, 35, 37, 2, 1
37, 0, 79, 0, 10, -6, 42, 68, 26, 1
55, 0, 79, 0, 16, -7, 23, 63, 40, 4
57, -2, 84, 0, 56, 0, 27, 27, 0, 1
81, 0, 84, 0, -20, -6, 4, 105, 102, 5
37, 0, 100, 0, 30, -3, 64, 69, 6, 1
56, -3, 97, 0, 44, 11, 41, 53, 12, 4
55, 0, 77, 0, 12, -17, 22, 65, 42, 4
45, 0, 76, 3, 44, -1, 31, 32, 2, 1
56, 0, 97, 0, 52, -18, 41, 45, 4, 4
54, 4, 104, 0, 54, 0, 50, 49, 0, 1
49, 1, 88, 0, 50, 31, 39, 39, 0, 1
37, 0, 95, 0, 10, 11, 58, 84, 26, 1
59, 1, 86, 0, 60, 21, 28, 27, 0, 1
37, 0, 81, -1, 12, 0, 44, 68, 24, 1
46, 0, 81, 1, 46, 8, 35, 35, 0, 1
37, 0, 77, 0, -4, -21, 41, 83, 42, 1
37, 0, 81, 3, 34, 1, 43, 47, 4, 1
37, 0, 82, 0, -2, 2, 45, 85, 40, 1
38, 1, 76, 0, 38, 18, 38, 37, 0, 1
37, 0, 80, 0, 10, 29, 43, 70, 26, 1
44, 0, 109, 0, 42, -19, 66, 68, 2, 1
43, 0, 85, 5, 42, -6, 42, 44, 2, 1
57, 5, 86, 0, 56, 0, 29, 30, 0, 1
52, -3, 77, 0, 52, 0, 25, 26, 0, 1
53, 0, 84, 0, 54, 12, 31, 30, 0, 1
38, 2, 77, 0, 38, 0, 39, 38, 0, 1
55, -1, 78, -3, 8, -9, 23, 70, 48, 4
37, 0, 99, 0, 28, -12, 61, 70, 8, 1
49, 0, 80, 0, 50, 5, 31, 31, 0, 1
55, 0, 78, 2, 12, -7, 23, 65, 42, 4
43, 0, 80, 0, 44, 17, 37, 36, 0, 1
45, 0, 86, -1, 44, -2, 40, 42, 2, 1
56, 4, 98, 0, 38, -17, 42, 59, 18, 4
42, 0, 86, -7, 42, 0, 43, 44, 2, 1
56, 0, 98, 0, 44, -5, 42, 54, 12, 4
37, 0, 79, 0, 12, 14, 43, 66, 24, 1
44, -2, 77, 0, 44, 5, 33, 33, 0, 1
51, 5, 86, 0, 52, 20, 35, 34, 0, 1
51, 5, 86, 0, 52, 12, 35, 35, 0, 1
41, 1, 85, 1, 42, 9, 44, 44, 0, 1
59, -1, 84, 0, 56, -21, 25, 27, 2, 1
49, 5, 83, 0, 50, 21, 34, 34, 0, 1
81, -4, 85, 0, -10, 0, 4, 95, 92, 5
56, 0, 95, 1, 50, 31, 40, 46, 6, 4
37, -2, 91, 0, 6, -1, 53, 86, 32, 1
37, 0, 90, 0, 34, 13, 53, 57, 4, 1
45, 0, 86, 7, 44, 0, 42, 42, 0, 1
41, -1, 76, 0, 38, -14, 35, 37, 2, 1
41, 0, 82, -2, 38, -26, 41, 43, 2, 1
37, -3, 75, 0, 26, -1, 38, 49, 10, 1
43, -4, 81, 0, 44, 13, 38, 37, 0, 1
45, 0, 80, 0, 46, 19, 35, 34, 0, 1
59, 0, 108, 0, 56, -9, 49, 51, 2, 1
45, -4, 83, 0, 46, 16, 37, 36, 0, 1
56, 0, 86, 0, 54, -30, 30, 32, 2, 1
44, 0, 82, -5, 44, -1, 38, 38, 0, 1
56, 0, 80, 6, -22, 1, 24, 103, 80, 4
65, 3, 113, 0, 64, 1, 48, 48, 0, 1
82, 0, 86, 5, -10, 0, 4, 96, 92, 5
56, 0, 97, 7, 50, -8, 41, 48, 6, 4
55, 0, 79, 0, 18, -18, 23, 61, 38, 4
44, -1, 76, 0, 42, -27, 32, 35, 2, 1
37, 0, 81, 0, -4, -29, 44, 86, 42, 1
45, 0, 82, 0, 46, 30, 37, 35, 0, 1
56, 0, 79, 0, 54, -26, 23, 24, 2, 1
37, 0, 83, 0, 28, 8, 46, 54, 8, 1
39, -4, 76, -2, -2, 0, 37, 79, 42, 1
44, 3, 84, -1, 44, 12, 41, 41, 0, 1
45, 0, 84, 0, 46, 23, 38, 37, 0, 1
40, 0, 77, -1, 38, 0, 37, 38, 2, 1
43, 0, 86, -2, 42, -2, 43, 45, 2, 1
37, 0, 84, 0, 28, -2, 47, 55, 8, 1
82, 0, 86, 0, -12, -18, 3, 99, 96, 5
37, 0, 81, -1, 28, -3, 44, 52, 8, 1
45, -2, 78, 0, 44, 0, 34, 34, 0, 1
37, 0, 76, 0, 24, 15, 40, 53, 14, 1
37, 0, 108, 0, 30, -8, 71, 77, 6, 1
86, 5, 89, 0, 2, -5, 3, 86, 84, 5
37, 0, 77, 0, 34, -6, 40, 44, 4, 1
59, 0, 86, 0, 56, -26, 28, 30, 2, 1
40, 0, 80, 0, 38, -6, 40, 41, 2, 1
37, 0, 104, 0, 18, 17, 66, 86, 20, 1
