@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
39, 5, 77, 0, 38, 0, 37, 38, 0, 1
41, 1, 85, 0, 38, 0, 44, 46, 2, 1
37, 2, 76, 0, 36, 0, 38, 39, 2, 1
41, 1, 86, 3, 42, 6, 45, 45, 0, 1
49, 0, 84, 0, 46, -4, 36, 38, 2, 1
51, 0, 79, 0, 50, -6, 28, 30, 2, 1
46, -4, 76, -1, 46, 0, 29, 29, 0, 1
45, 0, 108, 0, 44, -3, 62, 64, 2, 1
55, 0, 95, 0, 36, 13, 40, 59, 20, 4
37, 0, 75, 0, 28, 16, 38, 46, 8, 1
55, 1, 84, 0, 54, -1, 29, 30, 2, 1
55, 0, 96, 0, 46, 23, 41, 50, 8, 4
59, -5, 84, 0, 60, 6, 25, 24, 0, 1
46, 0, 80, 0, 46, 0, 34, 34, 0, 1
56, 0, 78, 0, 8, -19, 22, 70, 48, 4
48, -3, 95, 0, 46, -4, 47, 49, 2, 1
37, 0, 92, 0, 24, 3, 55, 69, 14, 1
37, 0, 78, 0, 12, -10, 41, 65, 24, 1
37, 0, 75, -2, 34, 0, 38, 41, 2, 1
37, 0, 76, 0, 36, 4, 39, 40, 2, 1
43, -5, 83, 0, 42, -9, 39, 41, 2, 1
67, -2, 110, 0, 68, 0, 43, 43, 0, 1
56, 0, 108, 0, 54, -14, 52, 53, 2, 1
37, 0, 83, 1, 24, 0, 46, 59, 14, 1
39, 3, 77, 0, 38, 0, 38, 38, 0, 1
37, 0, 79, -1, 6, -23, 43, 74, 32, 1
39, 3, 86, 0, 38, 0, 48, 48, 0, 1
37, 0, 79, -3, 36, -1, 41, 43, 2, 1
36, -1, 76, 0, 36, 0, 39, 39, 0, 1
45, 0, 79, 0, 46, 14, 34, 33, 0, 1
41, 0, 83, 2, 38, -1, 42, 44, 2, 1
55, 0, 82, 0, -32, 9, 26, 115, 90, 4
50, 1, 90, 3, 50, 0, 39, 41, 2, 1
45, 0, 84, 8, 44, -8, 39, 41, 2, 1
48, 0, 89, 4, 46, -7, 41, 42, 2, 1
85, 0, 88, -3, 6, 0, 3, 83, 80, 5
39, 1, 77, 2, 38, 0, 38, 38, 0, 1
37, 0, 83, 0, 6, -5, 47, 78, 32, 1
37, 0, 78, 0, 8, 21, 41, 70, 30, 1
56, 0, 92, 0, 56, 0, 36, 35, 0, 1
42, 0, 79, 6, 42, 0, 36, 37, 2, 1
66, 0, 109, 0, 68, 4, 43, 42, 0, 1
37, 0, 76, 0, 20, -20, 40, 55, 16, 1
37, 0, 106, 0, 34, -12, 69, 72, 4, 1
44, -1, 85, 0, 44, 3, 41, 41, 0, 1
56, -2, 97, 2, 42, -16, 41, 56, 14, 4
56, 2, 88, 0, 54, -5, 32, 33, 2, 1
46, 0, 86, 0, 46, 4, 41, 40, 0, 1
42, -1, 88, 0, 42, 0, 45, 46, 2, 1
41, 0, 76, 0, 42, 25, 35, 35, 0, 1
56, 0, 107, 0, 56, 26, 51, 50, 0, 1
37, 0, 83, -1, 18, 0, 47, 65, 18, 1
50, 0, 110, 1, 50, 0, 60, 61, 2, 1
46, 5, 86, 0, 46, 7, 40, 39, 0, 1
44, 0, 76, 1, 44, 8, 32, 32, 0, 1
44, 3, 76, 0, 44, 12, 32, 32, 0, 1
44, 1, 86, 0, 44, 22, 42, 42, 0, 1
42, -2, 85, 0, 42, 0, 43, 44, 0, 1
56, 0, 95, 0, 54, 1, 39, 41, 2, 1
55, 1, 96, 4, 50, 0, 41, 47, 6, 4
43, 0, 77, -7, 42, 0, 34, 36, 2, 1
37, 0, 79, -4, 36, -5, 41, 43, 2, 1
53, 0, 86, 1, 52, -14, 33, 35, 2, 1
42, 2, 86, 1, 42, 0, 44, 45, 2, 1
45, 0, 85, 1, 46, 18, 40, 39, 0, 1
51, 0, 86, 0, 52, 5, 35, 34, 0, 1
37, 0, 78, 0, -4, 16, 42, 83, 42, 1
51, -5, 77, 0, 52, 0, 26, 25, 0, 1
37, 0, 83, 0, 8, 21, 46, 75, 30, 1
45, 0, 88, 0, 46, 22, 42, 41, 0, 1
51, 0, 82, 0, 50, -12, 31, 33, 2, 1
46, 0, 86, -24, 46, 0, 40, 40, 0, 1
55, -1, 87, 0, 54, -2, 32, 33, 2, 1
56, 0, 76, -4, -18, 0, 20, 94, 74, 4
37, 0, 75, 0, 28, 43, 38, 46, 8, 1
45, 0, 77, 0, 44, -13, 31, 33, 2, 1
46, 0, 85, 0, 44, -25, 39, 41, 2, 1
37, 0, 76, 0, 26, -9, 39, 50, 10, 1
37, 0, 79, 0, 24, 24, 42, 55, 14, 1
62, -1, 108, 0, 60, 0, 45, 48, 2, 1
51, -2, 78, 0, 50, -30, 27, 29, 2, 1
51, 5, 87, 0, 50, 0, 36, 38, 2, 1
46, 0, 86, -7, 46, 4, 41, 40, 0, 1
37, 0, 76, 0, 36, -16, 38, 39, 2, 1
37, 0, 104, 0, 16, -11, 67, 89, 22, 1
37, 0, 94, -6, 16, 0, 57, 79, 22, 1
53, 5, 81, -1, 54, 8, 28, 27, 0, 1
37, 0, 90, 0, 36, 28, 53, 54, 2, 1
43, 0, 84, -1, 42, -10, 41, 43, 2, 1
51, 1, 78, 0, 50, 11, 27, 29, 2, 1
53, -4, 102, 0, 54, 0, 49, 48, 0, 1
49, 0, 86, 1, 50, 16, 38, 37, 0, 1
41, -1, 83, -2, 38, -7, 42, 44, 2, 1
37, 0, 108, 0, 30, -16, 71, 77, 6, 1
45, -1, 77, -4, 44, -6, 32, 33, 0, 1
38, -4, 79, 3, 38, 0, 41, 41, 0, 1
47, -4, 106, 0, 46, 0, 60, 60, 0, 1
37, 0, 106, 0, 36, 11, 69, 69, 0, 1
45, 0, 84, 0, 44, -8, 38, 40, 2, 1
40, 5, 79, 0, 38, 0, 39, 41, 2, 1
56, 0, 98, 0, 42, -8, 42, 57, 14, 4
49, 0, 83, 0, 50, 11, 34, 34, 0, 1
56, 2, 77, 0, 16, -2, 22, 62, 40, 4
37, 0, 106, 0, 38, 20, 68, 67, 0, 1
56, 0, 96, 0, 56, 7, 40, 39, 0, 1
46, 0, 84, -1, 46, 0, 38, 37, 0, 1
50, -1, 86, -4, 50, 0, 36, 37, 0, 1
82, 0, 85, -6, -10, 0, 3, 95, 92, 5
44, -1, 81, 0, 44, 0, 37, 37, 0, 1
37, 0, 106, 1, 28, -13, 69, 78, 8, 1
45, 0, 85, 0, 44, 73, 41, 41, 0, 1
81, -3, 85, -6, -40, 0, 4, 126, 122, 5
44, -4, 76, 0, 42, -30, 32, 35, 2, 1
55, 0, 96, 0, 42, 15, 41, 55, 14, 4
80, 0, 84, 6, -24, 11, 4, 110, 106, 5
37, 0, 79, 0, 16, -15, 43, 64, 22, 1
41, 0, 83, 0, 38, -20, 41, 44, 2, 1
37, -2, 75, 0, 28, 12, 38, 46, 8, 1
51, -4, 88, -5, 52, 16, 37, 37, 0, 1
37, 0, 97, 0, 30, 23, 60, 66, 6, 1
49, 2, 81, 0, 50, 4, 31, 32, 0, 1
52, -30, 79, 0, 0, 0, 27, 79, 52, 3
37, 0, 81, 0, -2, 6, 44, 84, 40, 1
82, 0, 86, 0, -4, -24, 3, 91, 88, 5
