@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
55, -1, 95, -3, 54, -4, 40, 41, 2, 1
41, 0, 89, 1, 38, -16, 48, 50, 2, 1
49, 0, 100, 0, 50, 19, 52, 51, 0, 1
45, -1, 87, -2, 44, -4, 43, 43, 0, 1
49, 0, 77, 0, 46, -9, 29, 31, 2, 1
37, -1, 77, -3, 34, -6, 40, 43, 2, 1
51, 0, 79, 0, 52, 2, 27, 27, 0, 1
37, 1, 77, -2, 34, 0, 40, 43, 2, 1
47, 2, 95, 3, 46, 0, 48, 49, 0, 1
37, 0, 75, 0, 34, 10, 38, 41, 2, 1
37, 0, 77, 0, 2, 17, 40, 74, 34, 1
44, -4, 82, -3, 44, 0, 38, 38, 0, 1
37, 0, 78, -5, 8, 0, 41, 70, 30, 1
49, 4, 84, 0, 50, 2, 35, 35, 0, 1
56, 0, 96, 0, 52, -3, 40, 44, 4, 4
47, -2, 75, 0, 46, 0, 28, 28, 0, 1
37, 0, 77, 0, -6, -19, 41, 85, 44, 1
37, 0, 104, -9, 28, 0, 67, 75, 8, 1
37, 4, 76, 0, 34, -10, 39, 43, 4, 1
44, 1, 76, 0, 44, 8, 32, 32, 0, 1
52, 4, 84, -1, 52, -2, 31, 32, 0, 1
37, 0, 79, 0, 26, -4, 42, 53, 12, 1
56, 3, 89, 0, 56, 0, 33, 32, 0, 1
50, 1, 78, -2, 50, 0, 28, 29, 2, 1
45, 0, 93, 2, 44, 0, 49, 50, 0, 1
38, 3, 76, 0, 38, 8, 38, 37, 0, 1
52, 4, 91, 0, 52, 0, 38, 39, 0, 1
60, -5, 111, 0, 60, 0, 50, 51, 2, 1
37, 0, 84, 0, 18, -25, 47, 66, 18, 1
42, 2, 75, 0, 42, 0, 33, 34, 0, 1
