@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
55, 0, 86, 8, 54, 0, 31, 32, 0, 1
55, 3, 88, 3, 54, 0, 32, 33, 2, 1
49, 0, 107, 0, 46, -16, 58, 60, 2, 1
56, 0, 79, 0, 16, 3, 23, 63, 40, 4
76, 0, 81, -2, -40, 13, 5, 122, 118, 5
47, 0, 84, 4, 46, 0, 38, 38, 0, 1
56, 0, 96, -1, 44, 0, 40, 52, 12, 4
56, 0, 81, 0, -10, -3, 25, 92, 66, 4
41, 0, 79, 0, 38, -23, 38, 41, 2, 1
46, -3, 80, 0, 46, 0, 34, 34, 0, 1
37, 0, 78, 0, 20, -10, 41, 57, 16, 1
38, 4, 76, 0, 38, 4, 38, 37, 0, 1
56, 0, 95, 0, 56, 15, 40, 39, 0, 1
51, -3, 83, 0, 50, -14, 32, 33, 2, 1
37, 0, 83, 0, 34, 7, 47, 50, 2, 1
45, 0, 83, 0, 46, 19, 38, 37, 0, 1
45, -1, 78, -3, 44, -5, 33, 34, 2, 1
48, 1, 87, 0, 46, 0, 39, 41, 2, 1
45, 0, 83, 0, 44, 2, 38, 39, 0, 1
56, 0, 81, 0, -20, -4, 25, 102, 76, 4
43, -3, 86, 0, 42, -16, 42, 44, 2, 1
39, 0, 107, -2, 38, 0, 68, 68, 0, 1
55, 0, 77, 0, 6, -11, 22, 72, 50, 4
43, 0, 87, 0, 42, -6, 44, 46, 2, 1
37, 0, 78, 0, 0, -11, 42, 78, 36, 1
48, 1, 87, -6, 46, -4, 39, 41, 2, 1
37, 0, 90, 0, 30, 9, 53, 59, 6, 1
59, 0, 86, 0, 60, 21, 28, 27, 0, 1
37, 0, 83, 0, 8, 24, 46, 75, 30, 1
54, 4, 77, 0, 28, 0, 23, 48, 26, 4
43, -5, 77, 0, 44, 19, 34, 33, 0, 1
37, 0, 78, 0, -2, -6, 42, 81, 40, 1
48, 0, 88, 0, 46, 0, 39, 41, 2, 1
43, 1, 77, 0, 42, 0, 34, 35, 2, 1
37, 0, 76, 0, 34, 13, 39, 42, 4, 1
37, 4, 106, 0, 18, 0, 68, 88, 20, 1
56, 4, 95, 0, 44, 26, 40, 51, 12, 4
49, -2, 83, 0, 50, 0, 34, 34, 0, 1
56, 0, 78, 0, 12, 19, 22, 65, 42, 4
51, 1, 81, 0, 52, 12, 29, 29, 0, 1
55, 0, 93, 0, 50, 25, 37, 44, 6, 4
45, 4, 87, -1, 44, 0, 42, 43, 2, 1
107, -2, 108, -1, 70, -23, 1, 38, 38, 5
39, 0, 79, -1, 38, -2, 41, 41, 0, 1
37, 0, 95, 0, 18, 22, 58, 77, 20, 1
43, 0, 81, -7, 42, 0, 38, 40, 2, 1
55, 0, 82, 0, -38, -6, 26, 121, 94, 4
44, 0, 99, -1, 42, -16, 56, 58, 2, 1
37, 0, 76, 0, 36, 3, 39, 39, 0, 1
56, 0, 89, 0, 56, 0, 33, 32, 0, 1
37, 0, 77, 5, 26, 0, 40, 51, 10, 1
41, -5, 88, 0, 42, 10, 47, 46, 0, 1
41, 0, 82, 0, 38, -21, 41, 43, 2, 1
58, 3, 81, -5, 56, 0, 24, 24, 0, 1
41, 0, 81, 0, 42, 17, 40, 39, 0, 1
45, 0, 77, 0, 46, 31, 31, 30, 0, 1
59, 0, 86, 0, 60, 3, 28, 27, 0, 1
43, -2, 81, 0, 42, -10, 37, 39, 2, 1
56, 0, 90, 0, 54, -16, 34, 35, 2, 1
55, 0, 77, -4, 28, -12, 21, 48, 28, 4
59, 0, 86, 0, 56, -5, 27, 29, 2, 1
41, -4, 77, 0, 42, 0, 36, 36, 0, 1
48, 0, 84, 8, 46, 0, 36, 37, 2, 1
37, 0, 76, 0, 34, 19, 39, 43, 4, 1
45, -1, 84, 0, 44, -5, 38, 40, 2, 1
52, -2, 83, 0, 52, 0, 32, 32, 0, 1
55, 0, 83, 0, 54, -1, 28, 29, 2, 1
37, 0, 95, 0, 10, 0, 58, 84, 26, 1
52, -1, 83, 0, 52, 0, 31, 31, 0, 1
41, 0, 80, 0, 42, 18, 39, 39, 0, 1
38, -2, 80, 0, 38, 0, 42, 41, 0, 1
49, 0, 86, -1, 50, 15, 38, 37, 0, 1
55, 0, 79, 0, 8, -16, 23, 71, 48, 4
41, 1, 106, -1, 42, 3, 65, 65, 0, 1
37, 0, 76, -4, 30, 22, 39, 45, 6, 1
37, 0, 75, 0, 24, -17, 38, 52, 14, 1
49, 2, 77, 0, 46, -7, 28, 30, 2, 1
81, -3, 84, 0, -22, -2, 4, 108, 104, 5
38, 1, 83, 0, 38, 0, 44, 44, 0, 1
41, -1, 81, 0, 38, -10, 41, 43, 2, 1
