@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
55, 0, 92, 0, 0, 26, 36, 92, 56, 4
47, 0, 85, -2, 46, -4, 38, 39, 0, 1
37, 0, 106, 0, 36, 3, 68, 69, 2, 1
37, 0, 105, 0, 34, 4, 68, 71, 4, 1
41, 2, 76, 0, 42, 11, 35, 35, 0, 1
56, 1, 99, 0, 50, 16, 42, 49, 8, 4
37, 0, 80, 0, 36, 15, 43, 44, 2, 1
42, 0, 83, 2, 42, 0, 41, 42, 2, 1
49, 3, 82, 0, 46, -8, 33, 35, 2, 1
37, 0, 77, 0, 336, 4910, 41, -258, -298, 1
37, 0, 76, -3, 36, -10, 39, 40, 2, 1
49, 0, 83, 0, 46, -14, 34, 37, 2, 1
55, 0, 82, 1, -10, 0, 26, 92, 66, 4
44, -1, 82, -4, 44, 0, 38, 38, 0, 1
37, 0, 81, 5, 36, -3, 43, 44, 2, 1
55, 2, 83, -2, 54, 0, 28, 29, 0, 1
41, 3, 78, 0, 38, -1, 37, 39, 2, 1
51, -2, 87, 0, 52, 5, 36, 35, 0, 1
37, 0, 93, 0, 12, 7, 56, 81, 24, 1
48, 0, 88, -4, 46, 0, 40, 41, 2, 1
105, -1, 106, 2, 70, 0, 2, 36, 34, 5
54, -1, 86, -1, 54, -2, 32, 32, 0, 1
56, 3, 99, 0, 38, 0, 43, 60, 18, 4
45, 0, 86, 0, 44, -3, 41, 42, 2, 1
43, 0, 77, 0, 42, 0, 34, 36, 2, 1
41, 1, 97, 0, 42, 4, 55, 55, 0, 1
56, 0, 81, 4, -22, 0, 25, 104, 80, 4
55, 0, 95, -2, 50, 0, 40, 46, 6, 4
55, -1, 79, -8, 20, -13, 23, 58, 34, 4
45, -3, 88, 0, 44, 0, 44, 44, 0, 1
58, -4, 91, 0, 56, 0, 33, 34, 0, 1
58, 0, 91, 2, 56, 0, 33, 34, 2, 1
38, -3, 76, 0, 38, 0, 38, 37, 0, 1
41, 0, 79, 0, 38, 0, 39, 41, 2, 1
46, 1, 87, 0, 46, 7, 41, 41, 0, 1
41, 0, 106, 0, 38, -28, 64, 67, 2, 1
56, 0, 77, 0, 10, 5, 22, 67, 46, 4
56, 0, 77, 0, 20, -28, 22, 57, 36, 4
45, 0, 88, 2, 44, 0, 44, 44, 0, 1
47, -1, 86, -2, 46, 0, 39, 39, 0, 1
37, 0, 78, 0, -2, 4, 42, 81, 40, 1
56, 0, 86, 1, 56, 0, 31, 30, 0, 1
45, 3, 79, 0, 44, -2, 34, 35, 2, 1
37, 0, 75, 0, 20, 5, 38, 54, 16, 1
85, 0, 89, 0, 6, 26, 4, 84, 80, 5
56, 0, 97, -2, 52, 1, 41, 45, 4, 4
49, 1, 78, 0, 50, 14, 29, 29, 0, 1
55, 1, 81, 0, 54, 0, 27, 27, 0, 1
45, -3, 85, -1, 44, 0, 41, 41, 0, 1
56, -1, 96, 0, 54, 3, 40, 42, 2, 1
37, 0, 76, 0, 28, 24, 39, 48, 8, 1
45, 0, 77, 0, 44, -14, 32, 34, 2, 1
37, 0, 78, -4, 28, 0, 41, 50, 8, 1
37, 0, 106, 0, 24, -2, 69, 83, 14, 1
41, 0, 83, 0, 42, 10, 41, 41, 0, 1
38, 0, 107, 0, 38, 5, 69, 68, 0, 1
41, -1, 81, 0, 42, 15, 41, 40, 0, 1
45, 4, 108, 0, 44, 0, 63, 64, 0, 1
37, -4, 90, 0, 28, 0, 53, 62, 8, 1
55, -4, 80, -2, 20, -7, 25, 59, 34, 4
37, 0, 95, 0, 10, 14, 58, 84, 26, 1
37, 0, 80, 0, 12, 11, 43, 67, 24, 1
37, 0, 105, 5, 18, 0, 68, 87, 18, 1
37, 0, 107, 1, 30, 0, 70, 76, 6, 1
37, 0, 82, -2, 34, 0, 45, 48, 2, 1
39, 0, 77, -6, 38, 0, 39, 39, 0, 1
