@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4, 72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250, 18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1, 4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1, 4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19, 75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1, 4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1, 2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@inputs StatusAccount, DurationMonth, CreditHistory, Purpose, CreditAmount, SavingsAccount, EmploymentSince, InstallmentRate, StatusAndSex, Guarantors, ResidenceSince, Property, Age, InstallmentPlans, Housing, NCredits, Job, NPeopleMain, Telephone, ForeignWorker
@outputs Customer
@data
A11, 6.0, A32, A43, 2647.0, A63, A73, 2, A93, A101, 3.0, A121, 44.0, A143, A151, 1.0, A173, 2, A191, A201, 1
A14, 6.0, A30, A43, 426.0, A61, A75, 4, A94, A101, 4.0, A123, 39.0, A143, A152, 1.0, A172, 1, A191, A201, 1
A12, 7.0, A32, A43, 2415.0, A61, A73, 3, A93, A103, 2.0, A121, 34.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 18.0, A32, A49, 1913.0, A64, A72, 3, A94, A101, 3.0, A121, 36.0, A141, A152, 1.0, A173, 1, A192, A201, 1
A14, 11.0, A34, A40, 1393.0, A61, A72, 4, A92, A101, 4.0, A123, 35.0, A143, A152, 2.0, A174, 1, A191, A201, 1
A14, 11.0, A34, A40, 7228.0, A61, A73, 1, A93, A101, 4.0, A122, 39.0, A143, A152, 2.0, A172, 1, A191, A201, 1
A14, 6.0, A31, A40, 783.0, A65, A73, 1, A93, A103, 2.0, A121, 26.0, A142, A152, 1.0, A172, 2, A191, A201, 1
A14, 36.0, A32, A41, 8133.0, A61, A73, 1, A92, A101, 2.0, A122, 30.0, A141, A152, 1.0, A173, 1, A191, A201, 1
A14, 7.0, A34, A43, 730.0, A65, A75, 4, A93, A101, 2.0, A122, 46.0, A143, A151, 2.0, A172, 1, A192, A201, 1
A11, 8.0, A34, A410, 1164.0, A61, A75, 3, A93, A101, 4.0, A124, 51.0, A141, A153, 2.0, A174, 2, A192, A201, 1
A11, 12.0, A34, A41, 1526.0, A61, A75, 4, A93, A101, 4.0, A124, 66.0, A143, A153, 2.0, A174, 1, A191, A201, 1
A14, 24.0, A32, A43, 5943.0, A65, A72, 1, A92, A101, 1.0, A123, 44.0, A143, A152, 2.0, A173, 1, A192, A201, 2
